기준일,기준가격,등락가,등락비율,재고량
2015-12-18,39.43 ,0.71 ,1.83 ,0.00 
2015-12-25,40.77 ,1.34 ,3.40 ,0.00 
2016-01-01,42.65 ,1.88 ,4.61 ,0.00 
2016-01-08,43.03 ,0.38 ,0.89 ,0.00 
2016-01-15,40.67 ,-2.36 ,-5.48 ,0.00 
2016-01-22,42.11 ,1.44 ,3.54 ,0.00 
2016-01-29,41.74 ,-0.37 ,-0.88 ,0.00 
2016-02-05,44.55 ,2.81 ,6.73 ,0.00 
2016-02-12,45.73 ,1.18 ,2.65 ,0.00 
2016-02-19,47.01 ,1.28 ,2.80 ,0.00 
2016-02-26,50.56 ,3.55 ,7.55 ,0.00 
2016-03-04,51.70 ,1.14 ,2.25 ,0.00 
2016-03-11,60.08 ,8.38 ,16.21 ,0.00 
2016-03-18,55.12 ,-4.96 ,-8.26 ,0.00 
2016-03-25,57.86 ,2.74 ,4.97 ,0.00 
2016-04-01,54.72 ,-3.14 ,-5.43 ,0.00 
2016-04-08,54.57 ,-0.15 ,-0.27 ,0.00 
2016-04-15,58.80 ,4.23 ,7.75 ,0.00 
2016-04-22,64.95 ,6.15 ,10.46 ,0.00 
2016-04-29,63.82 ,-1.13 ,-1.74 ,0.00 
2016-05-06,60.51 ,-3.31 ,-5.19 ,0.00 
2016-05-13,55.08 ,-5.43 ,-8.97 ,0.00 
2016-05-20,55.05 ,-0.03 ,-0.05 ,0.00 
2016-05-27,50.72 ,-4.33 ,-7.87 ,0.00 
2016-06-03,49.42 ,-1.30 ,-2.56 ,0.00 
2016-06-10,52.27 ,2.85 ,5.77 ,0.00 
2016-06-17,51.18 ,-1.09 ,-2.09 ,0.00 
2016-06-24,51.34 ,0.16 ,0.31 ,0.00 
2016-07-01,54.28 ,2.94 ,5.73 ,0.00 
2016-07-08,55.66 ,1.38 ,2.54 ,0.00 
2016-07-15,58.22 ,2.56 ,4.60 ,0.00 
2016-07-22,56.33 ,-1.89 ,-3.25 ,0.00 
2016-07-29,58.73 ,2.40 ,4.26 ,0.00 
2016-08-05,61.22 ,2.49 ,4.24 ,0.00 
2016-08-12,60.47 ,-0.75 ,-1.23 ,0.00 
2016-08-19,60.96 ,0.49 ,0.81 ,0.00 
2016-08-26,61.05 ,0.09 ,0.15 ,0.00 
2016-09-02,59.13 ,-1.92 ,-3.14 ,0.00 
2016-09-09,58.56 ,-0.57 ,-0.96 ,0.00 
2016-09-16,56.00 ,-2.56 ,-4.37 ,0.00 
2016-09-23,56.09 ,0.09 ,0.16 ,0.00 
2016-09-30,56.48 ,0.39 ,0.70 ,0.00 
2016-10-07,55.86 ,-0.62 ,-1.10 ,0.00 
2016-10-14,57.09 ,1.23 ,2.20 ,0.00 
2016-10-21,58.55 ,1.46 ,2.56 ,0.00 
2016-10-28,62.26 ,3.71 ,6.34 ,0.00 
2016-11-04,65.10 ,2.84 ,4.56 ,0.00 
2016-11-11,72.13 ,7.03 ,10.80 ,0.00 
2016-11-18,73.84 ,1.71 ,2.37 ,0.00 
2016-11-25,75.53 ,1.69 ,2.29 ,0.00 
2016-12-02,77.27 ,1.74 ,2.30 ,0.00 
2016-12-09,80.81 ,3.54 ,4.58 ,0.00 
2016-12-16,81.83 ,1.02 ,1.26 ,0.00 
2016-12-23,78.86 ,-2.97 ,-3.63 ,0.00 
2016-12-30,79.85 ,0.99 ,1.26 ,0.00 
2017-01-06,77.59 ,-2.26 ,-2.83 ,0.00 
2017-01-13,79.82 ,2.23 ,2.87 ,0.00 
2017-01-20,81.73 ,1.91 ,2.39 ,0.00 
2017-01-27,82.60 ,0.87 ,1.06 ,0.00 
2017-02-03,83.05 ,0.45 ,0.54 ,0.00 
2017-02-10,83.58 ,0.53 ,0.64 ,0.00 
2017-02-17,91.08 ,7.50 ,8.97 ,0.00 
2017-02-24,92.67 ,1.59 ,1.75 ,0.00 
2017-03-03,91.71 ,-0.96 ,-1.04 ,0.00 
2017-03-10,88.05 ,-3.66 ,-3.99 ,0.00 
2017-03-17,90.46 ,2.41 ,2.74 ,0.00 
2017-03-24,87.10 ,-3.36 ,-3.71 ,0.00 
2017-03-31,81.60 ,-5.50 ,-6.31 ,0.00 
2017-04-07,79.34 ,-2.26 ,-2.77 ,0.00 
2017-04-14,71.45 ,-7.89 ,-9.94 ,0.00 
2017-04-21,65.53 ,-5.92 ,-8.29 ,0.00 
2017-04-28,66.89 ,1.36 ,2.08 ,0.00 
2017-05-05,66.08 ,-0.81 ,-1.21 ,0.00 
2017-05-12,60.67 ,-5.41 ,-8.19 ,0.00 
2017-05-19,61.69 ,1.02 ,1.68 ,0.00 
2017-05-26,60.77 ,-0.92 ,-1.49 ,0.00 
2017-06-02,57.56 ,-3.21 ,-5.28 ,0.00 
2017-06-09,55.63 ,-1.93 ,-3.35 ,0.00 
2017-06-16,54.73 ,-0.90 ,-1.62 ,0.00 
2017-06-23,56.57 ,1.84 ,3.36 ,0.00 
2017-06-30,62.25 ,5.68 ,10.04 ,0.00 
2017-07-07,63.11 ,0.86 ,1.38 ,0.00 
2017-07-14,65.03 ,1.92 ,3.04 ,0.00 
2017-07-21,68.22 ,3.19 ,4.91 ,0.00 
2017-07-28,69.34 ,1.12 ,1.64 ,0.00 
2017-08-04,73.42 ,4.08 ,5.88 ,0.00 
2017-08-11,75.88 ,2.46 ,3.35 ,0.00 
2017-08-18,74.94 ,-0.94 ,-1.24 ,0.00 
2017-08-25,78.59 ,3.65 ,4.87 ,0.00 
2017-09-01,77.13 ,-1.46 ,-1.86 ,0.00 
2017-09-08,76.61 ,-0.52 ,-0.67 ,0.00 
2017-09-15,74.71 ,-1.90 ,-2.48 ,0.00 
2017-09-22,67.98 ,-6.73 ,-9.01 ,0.00 
2017-09-29,63.42 ,-4.56 ,-6.71 ,0.00 
2017-10-06,61.97 ,-1.45 ,-2.29 ,0.00 
2017-10-13,61.19 ,-0.78 ,-1.26 ,0.00 
2017-10-20,62.25 ,1.06 ,1.73 ,0.00 
2017-10-27,61.64 ,-0.61 ,-0.98 ,0.00 
2017-11-03,59.26 ,-2.38 ,-3.86 ,0.00 
2017-11-10,62.64 ,3.38 ,5.70 ,0.00 
2017-11-17,62.28 ,-0.36 ,-0.57 ,0.00 
2017-11-24,65.35 ,3.07 ,4.93 ,0.00 
2017-12-01,68.24 ,2.89 ,4.42 ,0.00 
2017-12-08,69.77 ,1.53 ,2.24 ,0.00 
2017-12-15,70.47 ,0.70 ,1.00 ,0.00 
2017-12-22,74.02 ,3.55 ,5.04 ,0.00 
2017-12-29,73.77 ,-0.25 ,-0.34 ,0.00 
2018-01-05,75.49 ,1.72 ,2.33 ,0.00 
2018-01-12,78.33 ,2.84 ,3.76 ,0.00 
2018-01-19,75.69 ,-2.64 ,-3.37 ,0.00 
2018-01-26,75.47 ,-0.22 ,-0.29 ,0.00 
2018-02-02,73.50 ,-1.97 ,-2.61 ,0.00 
2018-02-09,76.54 ,3.04 ,4.14 ,0.00 
2018-02-16,77.61 ,1.07 ,1.40 ,0.00 
2018-02-23,78.51 ,0.90 ,1.16 ,0.00 
2018-03-02,79.13 ,0.62 ,0.79 ,0.00 
2018-03-09,74.45 ,-4.68 ,-5.91 ,0.00 
2018-03-16,70.66 ,-3.79 ,-5.09 ,0.00 
2018-03-23,66.68 ,-3.98 ,-5.63 ,0.00 
2018-03-30,64.21 ,-2.47 ,-3.70 ,0.00 
2018-04-06,64.05 ,-0.16 ,-0.25 ,0.00 
2018-04-13,64.69 ,0.64 ,1.00 ,0.00 
2018-04-20,65.97 ,1.28 ,1.98 ,0.00 
2018-04-27,66.50 ,0.53 ,0.80 ,0.00 
2018-05-04,66.43 ,-0.07 ,-0.11 ,0.00 
2018-05-11,66.95 ,0.52 ,0.78 ,0.00 
2018-05-18,67.93 ,0.98 ,1.46 ,0.00 
2018-05-25,64.66 ,-3.27 ,-4.81 ,0.00 
2018-06-01,65.29 ,0.63 ,0.97 ,0.00 
2018-06-08,66.30 ,1.01 ,1.55 ,0.00 
2018-06-15,67.37 ,1.07 ,1.61 ,0.00 
2018-06-22,66.13 ,-1.24 ,-1.84 ,0.00 
2018-06-29,65.23 ,-0.90 ,-1.36 ,0.00 
