date1,inventory index,date2,price,date3,BHP_close,date4,VALE_close,RIO_Close,
2014-01-10,91.44,2014-01-10,134.20 ,2014-01-06,65.800003,2014.1.6,13.72,51.939999,2014-01-10
2014-01-17,96.09,2014-01-17,131.10 ,2014-01-13,67.050003,2014.1.13,13.79,55.040001,2014-01-17
2014-01-24,98.12,2014-01-24,125.70 ,2014-01-20,62.990002,2014.1.20,12.9,51.18,2014-01-24
2014-02-07,102.86,2014-01-31,125.50 ,2014-01-27,63.950001,2014.1.27,13.6,53.150002,2014-01-31
2014-02-14,106.12,2014-02-07,124.20 ,2014-02-03,65.650002,2014.2.3,14.38,56.169998,2014-02-07
2014-02-21,107.2,2014-02-14,122.90 ,2014-02-10,68.32,2014.2.10,14.66,58.900002,2014-02-14
2014-02-28,106.01,2014-02-21,125.10 ,2014-02-17,70.639999,2014.2.17,14.73,59.689999,2014-02-21
2014-03-07,108.57,2014-02-28,119.20 ,2014-02-24,68.900002,2014.2.24,14.17,57.299999,2014-02-28
2014-03-14,110.65,2014-03-07,116.60 ,2014-03-03,66.709999,2014.3.3,13.04,53.389999,2014-03-07
2014-03-21,111.93,2014-03-14,109.20 ,2014-03-10,64.239998,2014.3.10,12.49,52.110001,2014-03-14
2014-03-28,111.58,2014-03-21,110.75 ,2014-03-17,64.75,2014.3.17,13.04,52.650002,2014-03-21
2014-04-04,111.02,2014-03-28,112.60 ,2014-03-24,67.43,2014.3.24,13.68,54.740002,2014-03-28
2014-04-11,111.65,2014-04-04,116.70 ,2014-03-31,69.900002,2014.3.31,14.48,55.299999,2014-04-04
2014-04-18,110.58,2014-04-11,117.37 ,2014-04-07,70.400002,2014.4.7,14.76,55.709999,2014-04-11
2014-04-25,112.63,2014-04-25,112.69 ,2014-04-14,71.150002,2014.4.14,14.1,55.259998,2014-04-18
2014-05-02,113.06,2014-05-02,107.43 ,2014-04-21,70.75,2014.4.21,13.51,55.060001,2014-04-25
2014-05-09,112.6,2014-05-09,105.43 ,2014-04-28,69.889999,2014.4.28,13.57,54.610001,2014-05-02
2014-05-16,114.75,2014-05-16,102.65 ,2014-05-05,69.510002,2014.5.5,13.23,54.119999,2014-05-09
2014-05-23,115.35,2014-05-23,98.62 ,2014-05-12,70.800003,2014.5.12,13.73,55.18,2014-05-16
2014-05-30,115.88,2014-05-30,96.35 ,2014-05-19,69.949997,2014.5.19,13.18,54.619999,2014-05-23
2014-06-06,115.76,2014-06-06,93.63 ,2014-05-26,67.879997,2014.5.26,12.75,51.380001,2014-05-30
2014-06-13,115.7,2014-06-13,92.79 ,2014-06-02,67.949997,2014.6.2,13.09,53.470001,2014-06-06
2014-06-20,116.21,2014-06-20,90.82 ,2014-06-09,66.779999,2014.6.9,12.81,51.599998,2014-06-13
2014-06-27,114.81,2014-06-27,94.49 ,2014-06-16,67.959999,2014.6.16,12.86,52.619999,2014-06-20
2014-07-04,116.18,2014-07-04,95.11 ,2014-06-23,68.889999,2014.6.23,13.29,53.43,2014-06-27
2014-07-11,116.16,2014-07-11,96.34 ,2014-06-30,71.089996,2014.6.30,14.03,56.669998,2014-07-04
2014-07-18,115.46,2014-07-18,97.79 ,2014-07-07,70.669998,2014.7.7,13.86,55.16,2014-07-11
2014-07-25,113.45,2014-07-25,94.75 ,2014-07-14,72.07,2014.7.14,14.08,56.509998,2014-07-18
2014-08-01,113.33,2014-08-01,95.95 ,2014-07-21,73.230003,2014.7.21,14.56,58.240002,2014-07-25
2014-08-08,111.89,2014-08-08,95.49 ,2014-07-28,70.949997,2014.7.28,14.01,56.639999,2014-08-01
2014-08-15,110.67,2014-08-15,94.20 ,2014-08-04,71.040001,2014.8.4,13.83,57.48,2014-08-08
2014-08-22,110.8,2014-08-22,92.17 ,2014-08-11,72.449997,2014.8.11,13.71,57.330002,2014-08-15
2014-08-29,112.37,2014-08-29,88.16 ,2014-08-18,69.709999,2014.8.18,13.74,56.299999,2014-08-22
2014-09-05,112.69,2014-09-05,83.23 ,2014-08-25,68.629997,2014.8.25,13.06,53.740002,2014-08-29
2014-09-12,113.41,2014-09-12,82.94 ,2014-09-01,66.75,2014.9.1,12.68,52.959999,2014-09-05
2014-09-19,113.7,2014-09-19,83.84 ,2014-09-08,65.160004,2014.9.8,12.3,52.279999,2014-09-12
2014-09-26,110.69,2014-09-26,79.40 ,2014-09-15,63.310001,2014.9.15,12,51.68,2014-09-19
2014-10-10,108.51,2014-10-03,78.82 ,2014-09-22,59.830002,2014.9.22,11.19,50.470001,2014-09-26
2014-10-17,106.58,2014-10-10,79.93 ,2014-09-29,57.23,2014.9.29,11.02,47.169998,2014-10-03
2014-10-24,105.81,2014-10-17,82.34 ,2014-10-06,55.73,2014.10.6,10.9,47.75,2014-10-10
2014-10-31,107.18,2014-10-24,81.05 ,2014-10-13,59.040001,2014.10.13,10.94,49.93,2014-10-17
2014-11-07,106.24,2014-10-31,79.45 ,2014-10-20,59.139999,2014.10.20,11.16,49.040001,2014-10-24
2014-11-14,107.43,2014-11-07,76.86 ,2014-10-27,59.439999,2014.10.27,10.09,47.970001,2014-10-31
2014-11-21,108.05,2014-11-14,75.86 ,2014-11-03,59.880001,2014.11.3,9.43,48.369999,2014-11-07
2014-11-28,106.89,2014-11-21,71.67 ,2014-11-10,58.43,2014.11.10,8.87,48.07,2014-11-14
2014-12-05,108.05,2014-11-28,69.96 ,2014-11-17,57.34,2014.11.17,9.41,47.509998,2014-11-21
2014-12-12,104.89,2014-12-05,70.81 ,2014-11-24,51.630001,2014.11.24,9.01,46.599998,2014-11-28
2014-12-19,102.77,2014-12-12,69.27 ,2014-12-01,50.380001,2014.12.1,8.38,45.290001,2014-12-05
2014-12-26,100.59,2014-12-19,68.66 ,2014-12-08,46.18,2014.12.8,7.19,41.779999,2014-12-12
2015-01-04,98.24,2014-12-26,67.23 ,2014-12-15,48.389999,2014.12.15,8.14,45.380001,2014-12-19
2015-01-09,98.7,2015-01-02,70.60 ,2014-12-22,47.529999,2014.12.22,8.16,45.84,2014-12-26
2015-01-16,98.91,2015-01-09,71.17 ,2014-12-29,47.540001,2014.12.29,7.94,45.720001,2015-01-02
2015-01-23,98.22,2015-01-16,68.92 ,2015-01-05,46.93,2015.1.5,8.55,45.529999,2015-01-09
2015-01-30,99.77,2015-01-23,67.45 ,2015-01-12,46.139999,2015.1.12,8.41,44.200001,2015-01-16
2015-02-06,98.48,2015-01-30,63.12 ,2015-01-19,45.5,2015.1.19,7.85,43.080002,2015-01-23
2015-02-13,96.69,2015-02-06,62.47 ,2015-01-26,46.330002,2015.1.26,7.03,44.130001,2015-01-30
2015-02-27,98.29,2015-02-13,62.24 ,2015-02-02,48.290001,2015.2.2,7.35,46.240002,2015-02-06
2015-03-06,99.38,2015-02-20,63.91 ,2015-02-09,51.189999,2015.2.9,8.05,49.369999,2015-02-13
2015-03-13,100.28,2015-02-27,63.06 ,2015-02-16,50.48,2015.2.16,7.83,49.939999,2015-02-20
2015-03-20,99.19,2015-03-06,61.25 ,2015-02-23,52.52,2015.2.23,7.42,49.330002,2015-02-27
2015-03-27,100.13,2015-03-13,57.99 ,2015-03-02,49.349998,2015.3.2,6.42,44.23,2015-03-06
2015-04-03,97.24,2015-03-20,56.20 ,2015-03-09,44.549999,2015.3.9,5.82,41.900002,2015-03-13
2015-04-10,97.37,2015-03-27,55.00 ,2015-03-16,48.060001,2015.3.16,6.26,43.580002,2015-03-20
2015-04-17,97.58,2015-04-03,50.16 ,2015-03-23,47.099998,2015.3.23,5.67,41.880001,2015-03-27
2015-04-24,97.16,2015-04-10,47.81 ,2015-03-30,45.560001,2015.3.30,5.76,41.200001,2015-04-03
2015-04-30,95.07,2015-04-17,50.13 ,2015-04-06,45.82,2015.4.6,6.04,41.450001,2015-04-10
2015-05-08,89.91,2015-04-24,53.86 ,2015-04-13,46.439999,2015.4.13,5.87,42.02,2015-04-17
2015-05-15,86.56,2015-05-01,58.07 ,2015-04-20,51.040001,2015.4.20,7.92,45.720001,2015-04-24
2015-05-22,84.92,2015-05-08,59.78 ,2015-04-27,51.919998,2015.4.27,8.07,45.869999,2015-05-01
2015-05-29,83.31,2015-05-15,62.42 ,2015-05-04,50.799999,2015.5.4,7.63,46.110001,2015-05-08
2015-06-05,82.73,2015-05-22,58.83 ,2015-05-11,51.549999,2015.5.11,7.12,46.130001,2015-05-15
2015-06-12,80.74,2015-05-29,62.25 ,2015-05-18,45.869999,2015.5.18,6.57,44.880001,2015-05-22
2015-06-19,79.62,2015-06-05,63.89 ,2015-05-25,44.630001,2015.5.25,6.3,43.77,2015-05-29
2015-06-26,78.71,2015-06-12,64.95 ,2015-06-01,42.91,2015.6.1,6.51,43.630001,2015-06-05
2015-07-03,81.77,2015-06-19,62.36 ,2015-06-08,43.299999,2015.6.8,6.81,44.040001,2015-06-12
2015-07-10,82.01,2015-06-26,61.62 ,2015-06-15,43.810001,2015.6.15,6.51,43.16,2015-06-19
2015-07-17,81.15,2015-07-03,58.15 ,2015-06-22,42.689999,2015.6.22,6.23,42.84,2015-06-26
2015-07-24,81.75,2015-07-10,49.11 ,2015-06-29,41.290001,2015.6.29,5.85,41.040001,2015-07-03
2015-07-31,80.68,2015-07-17,50.39 ,2015-07-06,39.470001,2015.7.6,5.43,39.139999,2015-07-10
2015-08-07,81.56,2015-07-24,51.88 ,2015-07-13,39.560001,2015.7.13,5.46,40.349998,2015-07-17
2015-08-14,81.67,2015-07-31,54.15 ,2015-07-20,36.299999,2015.7.20,5.05,37.389999,2015-07-24
2015-08-21,81.04,2015-08-07,56.03 ,2015-07-27,38.369999,2015.7.27,5.26,38.619999,2015-07-31
2015-08-28,80.59,2015-08-14,56.57 ,2015-08-03,38.639999,2015.8.3,5.28,39.799999,2015-08-07
2015-09-06,79.94,2015-08-21,56.39 ,2015-08-10,37.880001,2015.8.10,5.23,38.59,2015-08-14
2015-09-11,81.25,2015-08-28,54.07 ,2015-08-17,34.68,2015.8.17,4.75,35.990002,2015-08-21
2015-09-18,82.9,2015-09-04,56.50 ,2015-08-24,36.689999,2015.8.24,4.83,36.599998,2015-08-28
2015-09-25,85.52,2015-09-11,57.87 ,2015-08-31,33.75,2015.8.31,4.73,34.23,2015-09-04
2015-10-09,80.93,2015-09-18,57.53 ,2015-09-07,34.07,2015.9.7,4.98,37.209999,2015-09-11
2015-10-16,84.27,2015-09-25,56.45 ,2015-09-14,34.599998,2015.9.14,4.98,35.52,2015-09-18
2015-10-23,83.87,2015-10-02,55.68 ,2015-09-21,31.870001,2015.9.21,4.52,33.599998,2015-09-25
2015-10-30,84.45,2015-10-09,54.28 ,2015-09-28,33.060001,2015.9.28,4.48,34.779999,2015-10-02
2015-11-06,87.11,2015-10-16,54.84 ,2015-10-05,37.759998,2015.10.5,5.48,39.740002,2015-10-09
2015-11-13,87.13,2015-10-23,52.56 ,2015-10-12,36.060001,2015.10.12,4.79,38.360001,2015-10-16
2015-11-20,86.58,2015-10-30,50.39 ,2015-10-19,35.75,2015.10.19,4.73,38.290001,2015-10-23
2015-11-27,89.17,2015-11-06,48.94 ,2015-10-26,32.889999,2015.10.26,4.36,36.509998,2015-10-30
2015-12-04,91.49,2015-11-13,48.19 ,2015-11-02,30.75,2015.11.2,4.14,34.720001,2015-11-06
2015-12-11,92.09,2015-11-20,46.00 ,2015-11-09,28.41,2015.11.9,3.97,34.240002,2015-11-13
2015-12-18,94.29,2015-11-27,44.24 ,2015-11-16,29.1,2015.11.16,3.8,34.68,2015-11-20
2015-12-25,97.43,2015-12-04,41.42 ,2015-11-23,26.98,2015.11.23,3.57,33.110001,2015-11-27
2015-12-31,96.08,2015-12-11,38.72 ,2015-11-30,26.48,2015.11.30,3.28,31.75,2015-12-04
2016-01-08,99.06,2015-12-18,39.43 ,2015-12-07,23.809999,2015.12.7,3.15,28.530001,2015-12-11
2016-01-15,100.63,2015-12-25,40.77 ,2015-12-14,23.93,2015.12.14,3.2,27.379999,2015-12-18
2016-01-22,100.05,2016-01-01,42.65 ,2015-12-21,26.139999,2015.12.21,3.3,29.719999,2015-12-25
2016-01-29,98.41,2016-01-08,43.03 ,2015-12-28,25.76,2015.12.28,3.29,29.120001,2016-01-01
2016-02-02,96.57,2016-01-15,40.67 ,2016-01-04,21.959999,2016.1.4,2.6,25.07,2016-01-08
2016-02-19,98.13,2016-01-22,42.11 ,2016-01-11,20.190001,2016.1.11,2.37,23.620001,2016-01-15
2016-02-26,98.19,2016-01-29,41.74 ,2016-01-18,21.48,2016.1.18,2.27,23.77,2016-01-22
2016-03-04,97.86,2016-02-05,44.55 ,2016-01-25,21.91,2016.1.25,2.45,24.65,2016-01-29
2016-03-11,96.95,2016-02-12,45.73 ,2016-02-01,22.58,2016.2.1,2.61,26.209999,2016-02-05
2016-03-18,97.5,2016-02-19,47.01 ,2016-02-08,22.719999,2016.2.8,2.63,26.52,2016-02-12
2016-03-25,96.31,2016-02-26,50.56 ,2016-02-15,23.98,2016.2.15,2.94,27.370001,2016-02-19
2016-04-01,99.43,2016-03-04,51.70 ,2016-02-22,22.559999,2016.2.22,2.71,25.52,2016-02-26
2016-04-08,100.72,2016-03-11,60.08 ,2016-02-29,27.68,2016.2.29,4.38,30.32,2016-03-04
2016-04-15,99.14,2016-03-18,55.12 ,2016-03-07,27.219999,2016.3.7,3.83,29.110001,2016-03-11
2016-04-22,99.39,2016-03-25,57.86 ,2016-03-14,27.42,2016.3.14,4.17,29.129999,2016-03-18
2016-04-29,100.08,2016-04-01,54.72 ,2016-03-21,25.639999,2016.3.21,4.04,27.709999,2016-03-25
2016-05-06,100.67,2016-04-08,54.57 ,2016-03-28,25.65,2016.3.28,4.32,28.17,2016-04-01
2016-05-13,99.37,2016-04-15,58.80 ,2016-04-04,24.77,2016.4.4,4.48,27.99,2016-04-08
2016-05-20,101.78,2016-04-22,64.95 ,2016-04-11,28.91,2016.4.11,5.29,31.67,2016-04-15
2016-05-27,101.86,2016-04-29,63.82 ,2016-04-18,31.82,2016.4.18,5.42,33.560001,2016-04-22
2016-06-03,100.17,2016-05-06,60.51 ,2016-04-25,31.34,2016.4.25,5.67,33.66,2016-04-29
2016-06-12,100.7,2016-05-13,55.08 ,2016-05-02,27.93,2016.5.2,4.78,30.9,2016-05-06
2016-06-17,100.57,2016-05-20,55.05 ,2016-05-09,26.6,2016.5.9,4.13,28.290001,2016-05-13
2016-06-24,102.68,2016-05-27,50.72 ,2016-05-16,26.84,2016.5.16,3.98,28.309999,2016-05-20
2016-07-01,104.61,2016-06-03,49.42 ,2016-05-23,27.5,2016.5.23,3.98,28.73,2016-05-27
2016-07-08,106.57,2016-06-10,52.27 ,2016-05-30,27.809999,2016.5.30,4.61,28.34,2016-06-03
2016-07-15,108.4,2016-06-17,51.18 ,2016-06-06,26.73,2016.6.6,4.41,27.940001,2016-06-10
2016-07-22,108.84,2016-06-24,51.34 ,2016-06-13,27.709999,2016.6.13,4.46,29.190001,2016-06-17
2016-07-29,108.64,2016-07-01,54.28 ,2016-06-20,27.23,2016.6.20,4.55,28.76,2016-06-24
2016-08-05,108.21,2016-07-08,55.66 ,2016-06-27,28.620001,2016.6.27,5.16,31.57,2016-07-01
2016-08-12,107.54,2016-07-15,58.22 ,2016-07-04,29.34,2016.7.4,4.95,31.59,2016-07-08
2016-08-19,106.41,2016-07-22,56.33 ,2016-07-11,30.5,2016.7.11,5.36,32.860001,2016-07-15
2016-08-26,105.4,2016-07-29,58.73 ,2016-07-18,28.549999,2016.7.18,5.31,31.35,2016-07-22
2016-09-02,104.24,2016-08-05,61.22 ,2016-07-25,29.690001,2016.7.25,5.75,32.82,2016-07-29
2016-09-09,103.46,2016-08-12,60.47 ,2016-08-01,31.02,2016.8.1,6.02,32.740002,2016-08-05
2016-09-16,104.01,2016-08-19,60.96 ,2016-08-08,30.969999,2016.8.8,5.64,31.08,2016-08-12
2016-09-23,102.72,2016-08-26,61.05 ,2016-08-15,31.940001,2016.8.15,5.97,32.060001,2016-08-19
2016-09-30,106.48,2016-09-02,59.13 ,2016-08-22,32.09,2016.8.22,5.45,31.540001,2016-08-26
2016-10-09,104.61,2016-09-09,58.56 ,2016-08-29,30.620001,2016.8.29,5.6,31.129999,2016-09-02
2016-10-14,105.68,2016-09-16,56.00 ,2016-09-05,30.74,2016.9.5,5.19,30.74,2016-09-09
2016-10-21,106.86,2016-09-23,56.09 ,2016-09-12,29.969999,2016.9.12,5.03,29.9,2016-09-16
2016-10-28,108.29,2016-09-30,56.48 ,2016-09-19,32.540001,2016.9.19,5.42,32.41,2016-09-23
2016-11-04,111.19,2016-10-07,55.86 ,2016-09-26,34.650002,2016.9.26,5.5,33.400002,2016-09-30
2016-11-11,109.09,2016-10-14,57.09 ,2016-10-03,35.360001,2016.10.3,5.57,33.16,2016-10-07
2016-11-18,111.35,2016-10-21,58.55 ,2016-10-10,33.990002,2016.10.10,5.58,31.77,2016-10-14
2016-11-25,110.73,2016-10-28,62.26 ,2016-10-17,34.959999,2016.10.17,6.26,32.869999,2016-10-21
2016-12-02,112.12,2016-11-04,65.10 ,2016-10-24,34.869999,2016.10.24,6.9,34.529999,2016-10-28
2016-12-09,112.43,2016-11-11,72.13 ,2016-10-31,33.98,2016.10.31,6.67,33.93,2016-11-04
2016-12-16,112.99,2016-11-18,73.84 ,2016-11-07,37.5,2016.11.7,7.69,39.080002,2016-11-11
2016-12-23,111.65,2016-11-25,75.53 ,2016-11-14,35.48,2016.11.14,7.24,36.549999,2016-11-18
2016-12-30,114.39,2016-12-02,77.27 ,2016-11-21,38.740002,2016.11.21,8.42,39.349998,2016-11-25
2017-01-06,117.32,2016-12-09,80.81 ,2016-11-28,38.02,2016.11.28,8.44,39.02,2016-12-02
2017-01-13,118.99,2016-12-16,81.83 ,2016-12-05,38.48,2016.12.5,8.78,41.150002,2016-12-09
2017-01-20,119.51,2016-12-23,78.86 ,2016-12-12,36.400002,2016.12.12,8.17,38.759998,2016-12-16
2017-02-10,128.2,2016-12-30,79.85 ,2016-12-19,35.41,2016.12.19,7.71,38.119999,2016-12-23
2017-02-17,129.31,2017-01-06,77.59 ,2016-12-26,35.779999,2016.12.26,7.62,38.459999,2016-12-30
2017-02-24,130.81,2017-01-13,79.82 ,2017-01-02,36.959999,2017.1.2,7.99,38.389999,2017-01-06
2017-03-03,131.66,2017-01-20,81.73 ,2017-01-09,39.84,2017.1.9,9.58,42.040001,2017-01-13
2017-03-10,131.29,2017-01-27,82.60 ,2017-01-16,39.93,2017.1.16,10.03,42.93,2017-01-20
2017-03-17,131.82,2017-02-03,83.05 ,2017-01-23,41.240002,2017.1.23,10.67,45.349998,2017-01-27
2017-03-24,133.63,2017-02-10,83.58 ,2017-01-30,39.389999,2017.1.30,9.73,42.669998,2017-02-03
2017-03-31,134.56,2017-02-17,91.08 ,2017-02-06,40.09,2017.2.6,10.46,45.41,2017-02-10
2017-04-06,133.74,2017-02-24,92.67 ,2017-02-13,40.279999,2017.2.13,10.97,45.5,2017-02-17
2017-04-14,132.36,2017-03-03,91.71 ,2017-02-20,37.970001,2017.2.20,10.52,41.689999,2017-02-24
2017-04-21,131.35,2017-03-10,88.05 ,2017-02-27,39.060001,2017.2.27,10.18,41.790001,2017-03-03
2017-04-28,133.33,2017-03-17,90.46 ,2017-03-06,35.639999,2017.3.6,9.47,39.389999,2017-03-10
2017-05-05,136.06,2017-03-24,87.10 ,2017-03-13,38.18,2017.3.13,10.13,43.029999,2017-03-17
2017-05-12,137.93,2017-03-31,81.60 ,2017-03-20,36.509998,2017.3.20,9.3,40.84,2017-03-24
2017-05-19,139.42,2017-04-07,79.34 ,2017-03-27,36.32,2017.3.27,9.5,40.68,2017-03-31
2017-05-26,140.27,2017-04-14,71.45 ,2017-04-03,36.970001,2017.4.3,9.23,40.610001,2017-04-07
2017-06-02,140.14,2017-04-21,65.53 ,2017-04-10,36.09,2017.4.10,8.72,38.939999,2017-04-14
2017-06-09,144.11,2017-04-28,66.89 ,2017-04-17,35.759998,2017.4.17,8.87,39.529999,2017-04-21
2017-06-16,142.36,2017-05-05,66.08 ,2017-04-24,35.599998,2017.4.24,8.58,39.82,2017-04-28
2017-06-23,145.39,2017-05-12,60.67 ,2017-05-01,34.490002,2017.5.1,8.17,38.900002,2017-05-05
2017-06-30,144.13,2017-05-19,61.69 ,2017-05-08,35.200001,2017.5.8,8.26,38.689999,2017-05-12
2017-07-07,142.29,2017-05-26,60.77 ,2017-05-15,36.709999,2017.5.15,8.42,41.380001,2017-05-19
2017-07-14,142.87,2017-06-02,57.56 ,2017-05-22,35.84,2017.5.22,8.53,40.98,2017-05-26
2017-07-21,143.2,2017-06-09,55.63 ,2017-05-29,35.470001,2017.5.29,8.21,40.799999,2017-06-02
2017-07-28,142.31,2017-06-16,54.73 ,2017-06-05,35.389999,2017.6.5,8.31,41.73,2017-06-09
2017-08-04,140.37,2017-06-23,56.57 ,2017-06-12,34.700001,2017.6.12,7.88,39.299999,2017-06-16
2017-08-11,138.34,2017-06-30,62.25 ,2017-06-19,34.16,2017.6.19,8.17,39.169998,2017-06-23
2017-08-18,136.35,2017-07-07,63.11 ,2017-06-26,35.59,2017.6.26,8.75,42.310001,2017-06-30
2017-08-25,134.73,2017-07-14,65.03 ,2017-07-03,37.220001,2017.7.3,8.77,43.5,2017-07-07
2017-09-01,134.19,2017-07-21,68.22 ,2017-07-10,39.400002,2017.7.10,9.25,45.169998,2017-07-14
2017-09-08,133.9,2017-07-28,69.34 ,2017-07-17,38.790001,2017.7.17,9.02,44.139999,2017-07-21
2017-09-15,132.61,2017-08-04,73.42 ,2017-07-24,41.139999,2017.7.24,9.67,46.610001,2017-07-28
2017-09-22,131.74,2017-08-11,75.88 ,2017-07-31,41.209999,2017.7.31,9.97,46.830002,2017-08-04
2017-09-29,133.57,2017-08-18,74.94 ,2017-08-07,40.349998,2017.8.7,9.69,44.610001,2017-08-11
2017-10-13,131.47,2017-08-25,78.59 ,2017-08-14,40.400002,2017.8.14,10.03,44.639999,2017-08-18
2017-10-20,131.78,2017-09-01,77.13 ,2017-08-21,42.560001,2017.8.21,10.68,47.689999,2017-08-25
2017-10-27,135.94,2017-09-08,76.61 ,2017-08-28,44.16,2017.8.28,11.3,49.529999,2017-09-01
2017-11-03,137.42,2017-09-15,74.71 ,2017-09-04,42.990002,2017.9.4,11.11,48.27,2017-09-08
2017-11-10,138.417,2017-09-22,67.98 ,2017-09-11,41.82,2017.9.11,10.85,47.630001,2017-09-15
2017-11-17,138.153,2017-09-29,63.42 ,2017-09-18,41.68,2017.9.18,10.16,47.82,2017-09-22
2017-11-24,139.849,2017-10-06,61.97 ,2017-09-25,40.529999,2017.9.25,10.07,47.189999,2017-09-29
2017-12-01,141.355,2017-10-13,61.19 ,2017-10-02,41.34,2017.10.2,10.13,49.080002,2017-10-06
2017-12-08,142.176,2017-10-20,62.25 ,2017-10-09,42.200001,2017.10.9,10.45,50.009998,2017-10-13
2017-12-15,143.387,2017-10-27,61.64 ,2017-10-16,41.27,2017.10.16,10.28,48.369999,2017-10-20
2017-12-22,145.37,2017-11-03,59.26 ,2017-10-23,40.66,2017.10.23,10.01,47.450001,2017-10-27
2017-12-29,146.551,2017-11-10,62.64 ,2017-10-30,42.150002,2017.10.30,10.09,49.240002,2017-11-03
2018-01-05,149.232,2017-11-17,62.28 ,2017-11-06,42.779999,2017.11.6,10.07,49.509998,2017-11-10
2018-01-12,151.97,2017-11-24,65.35 ,2017-11-13,41.380001,2017.11.13,10.11,47.59,2017-11-17
2018-01-19,153.6086,2017-12-01,68.24 ,2017-11-20,42.709999,2017.11.20,10.98,49.43,2017-11-24
2018-01-26,151.822,2017-12-08,69.77 ,2017-11-27,41.959999,2017.11.27,10.9,48.299999,2017-12-01
2018-02-02,151.428,2017-12-15,70.47 ,2017-12-04,41.060001,2017.12.4,10.78,47.169998,2017-12-08
2018-02-09,152.381,2017-12-22,74.02 ,2017-12-11,43.080002,2017.12.11,11.17,49.119999,2017-12-15
2018-03-02,159.562,2017-12-29,73.77 ,2017-12-18,45,2017.12.18,11.92,51.09,2017-12-22
2018-03-09,158.322,2018-01-05,75.49 ,2017-12-25,45.990002,2017.12.25,12.23,52.93,2017-12-29
2018-03-16,159.726,2018-01-12,78.33 ,2018-01-01,48.139999,2018.1.1,13.09,54.540001,2018-01-05
2018-03-23,161.354,2018-01-19,75.69 ,2018-01-08,50.689999,2018.1.8,13.53,57.669998,2018-01-12
2018-03-30,162.818,2018-01-26,75.47 ,2018-01-15,49.650002,2018.1.15,13.36,56.049999,2018-01-19
2018-04-06,161.1613,2018-02-02,73.50 ,2018-01-22,50,2018.1.22,13.11,56.310001,2018-01-26
