Date,Open,High,Low,Close,Adj Close,Volume
2014-01-13,65.620003,67.540001,64.150002,67.050003,55.775570,14954000
2014-01-20,66.610001,66.699997,62.939999,62.990002,52.398254,11001300
2014-01-27,63.869999,64.349998,62.810001,63.950001,53.196835,8988600
2014-02-03,63.759998,65.739998,62.680000,65.650002,54.610973,10955600
2014-02-10,65.330002,68.650002,65.160004,68.320000,56.832008,8394200
2014-02-17,70.430000,71.129997,69.599998,70.639999,58.761913,9774200
2014-02-24,70.309998,71.260002,68.769997,68.900002,57.314491,9394000
2014-03-03,68.199997,68.989998,66.290001,66.709999,55.492729,11157600
2014-03-10,65.339996,65.769997,63.799999,64.239998,54.373631,11918400
2014-03-17,65.070000,65.779999,63.540001,64.750000,54.805298,10076500
2014-03-24,65.410004,67.830002,64.510002,67.430000,57.073689,11033000
2014-03-31,67.660004,70.980003,67.360001,69.900002,59.164326,9542300
2014-04-07,69.739998,72.400002,69.550003,70.400002,59.587540,10279700
2014-04-14,70.860001,71.470001,69.180000,71.150002,60.222347,6919000
2014-04-21,71.250000,71.570000,70.430000,70.750000,59.883789,6324000
2014-04-28,70.129997,70.699997,69.080002,69.889999,59.155872,7943800
2014-05-05,69.570000,70.830002,69.160004,69.510002,58.834229,8043900
2014-05-12,70.580002,72.400002,70.500000,70.800003,59.926105,9352800
2014-05-19,70.029999,70.260002,68.430000,69.949997,59.206646,5657300
2014-05-26,70.080002,70.230003,67.589996,67.879997,57.454578,6156600
2014-06-02,68.050003,68.410004,67.010002,67.949997,57.513817,7314000
2014-06-09,68.099998,68.309998,66.410004,66.779999,56.523521,6378100
2014-06-16,67.419998,68.839996,65.540001,67.959999,57.522293,10424300
2014-06-23,69.059998,69.440002,67.720001,68.889999,58.309452,6489700
2014-06-30,67.970001,71.290001,67.839996,71.089996,60.171566,6878300
2014-07-07,70.559998,71.019997,69.370003,70.669998,59.816067,7375300
2014-07-14,71.449997,73.050003,71.120003,72.070000,61.001057,9796500
2014-07-21,71.779999,73.720001,71.739998,73.230003,61.982895,6125300
2014-07-28,73.269997,73.910004,70.580002,70.949997,60.053062,7479800
2014-08-04,71.180000,72.230003,70.099998,71.040001,60.129246,9287800
2014-08-11,71.300003,72.589996,70.709999,72.449997,61.322681,7153000
2014-08-18,72.570000,72.760002,69.349998,69.709999,59.003517,13869600
2014-08-25,69.690002,69.879997,67.879997,68.629997,58.089382,7777000
2014-09-01,68.839996,68.889999,66.279999,66.750000,56.498123,6964600
