,날짜,철광석_가격,전기동 [LME] 3개월(o)USD/ton,알루미늄 [LME] 3개월(o)USD/ton,니켈 [LME] 3개월(o)USD/ton,아연 [LME] 3개월(o)USD/ton,납 [LME] 3개월(o)USD/ton,주석 [LME] 3개월(o)USD/ton,BHP_close,RIO_close,VALE_close,PDS.원자재.지수,USD.CNY..미국.달러...중국.인민폐.,USD.BRL..미국.달러...브라질.레알.,AUD.USD..호주.달러...미국.달러.,inventory.index,WTI [CME(NYMEX)] 2018.08USD/bbl(barrel),브렌트유 [ICE] 2018.09USD/bbl(barrel),철근 [SHFE] 2018.10RMB/ton,선재 [SHFE] 2018.10RMB/ton
33,2015-08-17,56.39,5044.9,1558.5,10379,1793,1707.5,15400,34.68,35.99,4.75,90.63,6.39,3.48,0.73,81.04,41.38,47.36,2046.8,2350
34,2015-08-24,54.07,4980.9,1541.1,9657,1735.7,1660,14180,36.69,36.6,4.83,86.2,6.4,3.58,0.71,80.59,40.79,45.33,1960.4,2350
35,2015-08-31,56.5,5131.88,1609.13,9930,1806.13,1717.13,14932.5,33.75,34.23,4.73,88.69,6.36,3.73,0.7,79.94,46.73,50.9,1958.33,2350
36,2015-09-07,57.87,5299.8,1627.2,10088,1804.6,1703.7,15216,34.07,37.21,4.98,88.97,6.37,3.83,0.7,81.25,45.16,48.35,1945.2,2350
37,2015-09-14,57.53,5328.6,1621.3,9948,1730.1,1696.6,15452,34.6,35.52,4.98,88.68,6.37,3.87,0.72,82.9,45.46,47.86,1929,2375.8
38,2015-09-21,56.45,5120,1589,9791,1658.1,1685,15082,31.87,33.6,4.52,88.07,6.38,4.02,0.7,85.52,45.52,48.5,1897.4,2379.6
39,2015-09-28,55.68,5050.6,1565,10073,1662.7,1656.9,15395,33.06,34.78,4.48,87.59,6.36,4.01,0.7,83.225,45.01,47.95,1845.33,2277.67
40,2015-10-05,54.28,5197.7,1576.8,10217,1711.4,1675.2,15815,37.76,39.74,5.48,88.49,6.35,3.84,0.72,80.93,48.33,51.64,1838.5,2098
41,2015-10-12,54.84,5282.9,1588.8,10536,1825,1800.5,16046,36.06,38.36,4.79,90.61,6.34,3.84,0.73,84.27,46.81,49.48,1836.2,2098
42,2015-10-19,52.56,5229.7,1530.6,10452,1764.8,1773.2,15940,35.75,38.29,4.73,88.46,6.35,3.91,0.72,83.87,45.32,48.25,1805.8,2098
43,2015-10-26,50.39,5175,1482,10414,1724.4,1734,15277,32.89,36.51,4.36,87.02,6.35,3.88,0.72,84.45,45.15,48.35,1795.8,2082
44,2015-11-02,48.94,5086.9,1498.2,9915,1679.1,1676.8,14775,30.75,34.72,4.14,87.23,6.34,3.8,0.71,87.11,45.97,48.66,1782,2088
45,2015-11-09,48.19,4897.4,1500.9,9496,1614.8,1625.5,14634,28.41,34.24,3.97,85.71,6.36,3.79,0.71,87.13,42.7,45.62,1782,2088
46,2015-11-16,46,4673.4,1475.3,9113,1561.1,1597.8,14662,29.1,34.68,3.8,83.42,6.38,3.78,0.71,86.58,40.82,44.22,1732.2,2114.4
47,2015-11-23,44.24,4562.3,1457.3,8663,1569,1603.1,14628,26.98,33.11,3.57,83.51,6.39,3.75,0.72,89.17,42.34,45.49,1673.6,2121
48,2015-11-30,41.42,4586.7,1470.1,8895,1547.4,1641.8,14927,26.48,31.75,3.28,83.04,6.4,3.82,0.73,91.49,40.9,43.68,1643.2,2124
49,2015-12-07,38.72,4603.4,1489.7,8722,1535.8,1697.8,14602,23.81,28.53,3.15,81.08,6.43,3.8,0.72,92.09,36.94,39.75,1655.4,2124
50,2015-12-14,39.43,4607.5,1481.1,8687,1510.4,1684.6,14610,23.93,27.38,3.2,78.25,6.48,3.91,0.72,94.29,35.77,37.54,1674.2,2124
51,2015-12-21,40.77,4688.38,1522.63,8716.25,1535.88,1719.25,14620,26.14,29.72,3.3,77.37,6.47,3.97,0.72,97.43,36.62,36.93,1730,2124
52,2015-12-28,42.65,4702.67,1522.5,8646.67,1599,1776.33,14560,25.76,29.12,3.29,78.43,6.49,3.91,0.73,96.08,37.08,37.04,1768.5,2124
53,2016-01-04,43.03,4577.1,1471.3,8511,1532.2,1692.6,14083,21.96,25.07,2.6,77.45,6.54,4.03,0.71,99.06,34.63,35.03,1777.6,2124
54,2016-01-11,40.67,4367.9,1465.6,8329,1480.6,1609.1,13415,20.19,23.62,2.37,74.12,6.58,4.03,0.7,100.63,30.59,30.95,1754.8,2124
55,2016-01-18,42.11,4396.7,1480.4,8646,1498.5,1626.8,13385,21.48,23.77,2.27,70.23,6.57,4.09,0.69,100.05,29.18,29.32,1820.4,1911
56,2016-01-25,41.74,4509.3,1503.1,8626,1571.7,1662.9,14076,21.91,24.65,2.45,71.84,6.54,4.07,0.7,98.41,32.19,32.81,1839,1911
57,2016-02-01,44.55,4611.1,1523.1,8510,1676.3,1770,14948,22.58,26.21,2.61,74.03,6.57,3.93,0.71,96.57,31.28,34.1,1829.2,1911
58,2016-02-08,45.73,4512,1493.8,7972,1706.5,1817.2,15548,22.72,26.52,2.63,72.76,6.56,3.94,0.71,97.35,30.655,33.785,1848.3,1911
59,2016-02-15,47.01,4573.5,1520.7,8294,1687.4,1778.3,15595,23.98,27.37,2.94,72.91,6.52,4.02,0.71,98.13,30.03,33.47,1867.4,1911
60,2016-02-22,50.56,4655.4,1562.6,8592,1756.8,1719.6,15985,22.56,25.52,2.71,73.34,6.52,3.96,0.72,98.19,32.27,34.55,1931.6,1911
61,2016-02-29,51.7,4782.1,1580.7,8739,1808.8,1803.8,16268,27.68,30.32,4.38,75.71,6.54,3.88,0.73,97.86,34.66,37.22,1975,1911
62,2016-03-07,60.08,4945.7,1574.5,8981,1808.4,1855.5,16911,27.22,29.11,3.83,79.18,6.51,3.69,0.75,96.95,37.81,40.4,2095.2,1911
63,2016-03-14,55.12,4979.9,1525,8697,1793.9,1815,16881,27.42,29.13,4.17,80.97,6.49,3.68,0.76,97.5,38.32,40.27,2033.2,1911
64,2016-03-21,57.86,5014.5,1497.5,8672.5,1838.5,1800,17212.5,25.64,27.71,4.04,82.4,6.5,3.65,0.76,96.31,40.15,41.06,2157.6,1911
65,2016-03-28,54.72,4875.38,1502.63,8466.25,1803.75,1736.38,16956.25,25.65,28.17,4.32,81.87,6.48,3.61,0.76,99.43,38.22,39.39,2147.8,1911
66,2016-04-04,54.57,4731.8,1515,8425,1798.3,1709.9,16562,24.77,27.99,4.48,81.92,6.47,3.65,0.76,100.72,37.26,39.35,2185,1911
67,2016-04-11,58.8,4752.6,1538.1,8821,1833.9,1719,17049,28.91,31.67,5.29,83.92,6.47,3.5,0.77,99.14,41.23,43.73,2321.8,1911
68,2016-04-18,64.95,4906.3,1600.6,9196,1920.5,1758.3,17245,31.82,33.56,5.42,85.52,6.48,3.55,0.78,99.39,42.08,44.48,2544,1911
69,2016-04-25,63.82,4953.3,1653.1,9216,1897.2,1758.8,17201,31.34,33.66,5.67,87.73,6.49,3.51,0.77,100.08,44.79,46.73,2568.8,1911
70,2016-05-02,60.51,4857.5,1627.5,9346.25,1880.25,1754.5,17305,27.93,30.9,4.78,88.81,6.49,3.53,0.75,100.67,44.24,45.16,2386.75,1911
71,2016-05-09,55.08,4710.4,1562.1,8749,1882.4,1751,17171,26.6,28.29,4.13,87.56,6.51,3.49,0.73,99.37,45.45,46.53,2139.6,1911
72,2016-05-16,55.05,4611.8,1548.4,8627,1882.7,1708,16751,26.84,28.31,3.98,89.4,6.53,3.54,0.73,101.78,48.03,48.94,2064.4,2254.2
73,2016-05-23,50.72,4636.8,1553,8393,1855.4,1663.8,15791,27.5,28.73,3.98,89.62,6.56,3.58,0.72,101.86,49.01,49.12,1958.4,2340
74,2016-05-30,49.42,4631.63,1557.63,8457.5,1959,1710.63,16225,27.81,28.34,4.61,89.73,6.58,3.58,0.73,100.17,48.98,49.77,1978.6,2340
75,2016-06-06,52.27,4597.5,1580.5,8830,2051.5,1737,17050,26.73,27.94,4.41,91.29,6.57,3.42,0.74,100.7,50.18,51.4,2071,2340
76,2016-06-13,51.18,4554.8,1606.2,8946,2030.4,1702.8,17150,27.71,29.19,4.46,90.98,6.59,3.46,0.74,100.57,47.91,49.1,2098.8,2252.8
77,2016-06-20,51.34,4662.9,1626.4,9183,2019.6,1712.4,17075,27.23,28.76,4.55,90.36,6.59,3.38,0.75,102.68,49.02,50.09,2111.8,2122
78,2016-06-27,54.28,4782.1,1627.5,9326,2065.6,1752.8,17092,28.62,31.57,5.16,90.74,6.65,3.28,0.74,104.61,48.28,49.28,2272.8,2122
79,2016-07-04,55.66,4796,1646.1,9968,2113.9,1831.4,17760,29.34,31.59,4.95,91.02,6.68,3.32,0.75,106.57,46.15,48,2394.2,2178
80,2016-07-11,58.22,4887.4,1676.1,10313,2189.5,1868.6,17970,30.5,32.86,5.36,89.42,6.69,3.27,0.76,108.4,45.59,47.19,2497.4,2481.6
81,2016-07-18,56.33,4932.8,1631.4,10574,2243.2,1856.4,17821,28.55,31.35,5.31,89.03,6.69,3.26,0.75,108.84,44.75,46.54,2351.2,2479.8
82,2016-07-25,58.73,4886,1607.6,10470,2222,1824.2,17785,29.69,32.82,5.75,87.15,6.66,3.27,0.75,108.64,42.14,43.64,2396.2,2431
83,2016-08-01,61.22,4859.8,1638.7,10687,2271.3,1816.2,18041,31.02,32.74,6.02,85.56,6.64,3.23,0.76,108.21,40.83,43.12,2485.4,2431
84,2016-08-08,60.47,4810.5,1647.4,10760,2277.1,1819,18316,30.97,31.08,5.64,86.82,6.64,3.16,0.77,107.54,43.1,45.49,2578.6,2431
85,2016-08-15,60.96,4789.7,1680.5,10342,2270.2,1877,18286,31.94,32.06,5.97,88.98,6.63,3.21,0.77,106.41,47.17,49.84,2589,2431
86,2016-08-22,61.05,4689.7,1655.1,10087,2298.2,1863.4,18750,32.09,31.54,5.45,90.45,6.66,3.23,0.76,105.4,47.38,49.55,2571.4,2373.8
87,2016-08-29,59.13,4624,1620.88,9831.25,2327.63,1910.5,18981.25,30.62,31.13,5.6,89.52,6.68,3.24,0.75,104.24,45.13,47.39,2433,2145
88,2016-09-05,58.56,4638.9,1589.7,10230,2328.6,1934.6,19540,30.74,30.74,5.19,88.69,6.67,3.23,0.76,103.46,45.96,48.17,2380.2,2145
89,2016-09-12,56,4693.6,1569.3,9889,2249,1914.3,19216,29.97,29.9,5.03,89.85,6.68,3.3,0.75,104.01,44.34,46.73,2279.67,2145
90,2016-09-19,56.09,4789.1,1598.6,10379,2278.7,1951.1,19481,32.54,32.41,5.42,89.36,6.67,3.24,0.76,102.72,44.58,46.44,2269.4,2145
91,2016-09-26,56.48,4823.1,1657.1,10625,2327.6,2002.3,19882,34.65,33.4,5.5,90.39,6.67,3.24,0.77,106.48,46.74,48.06,2289.4,2143
92,2016-10-03,55.86,4793.5,1673,10192,2363.7,2076.7,19968,35.36,33.16,5.57,92.11,6.67,3.23,0.76,104.61,48.68,50.165,2306.4,2261.2
93,2016-10-10,57.09,4785.9,1682.7,10470,2275.6,2052,19804,33.99,31.77,5.58,94.47,6.72,3.2,0.76,105.68,50.62,52.27,2323.4,2379.4
94,2016-10-17,58.55,4670.7,1638.4,10283,2284.9,2007.4,19787,34.96,32.87,6.26,94.38,6.74,3.17,0.77,106.86,50.62,51.81,2451.4,2305
95,2016-10-24,62.26,4736.2,1672.3,10261,2351.9,2060.1,20334,34.87,34.53,6.9,93.84,6.78,3.15,0.76,108.29,49.62,50.48,2527,2305
96,2016-10-31,65.1,4898.9,1723.9,10477,2441.5,2075.3,20883,33.98,33.93,6.67,93.12,6.76,3.24,0.77,111.19,45.52,47.05,2638,2305
97,2016-11-07,72.13,5400.7,1745.4,11431,2496.6,2135.2,21617,37.5,39.08,7.69,91.97,6.79,3.28,0.77,109.09,44.64,45.83,2934,2305
98,2016-11-14,73.84,5485.3,1714.2,11229,2551.2,2169.5,20426,35.48,36.55,7.24,93.3,6.85,3.43,0.75,111.35,45.16,46.27,2865.6,2305
99,2016-11-21,75.53,5693,1747.6,11398,2654.6,2225.7,21102,38.74,39.35,8.42,94.49,6.91,3.4,0.74,110.73,47.39,48.55,2893.6,2305
100,2016-11-28,77.27,5801,1731,11316,2786.9,2391.4,21061,38.02,39.02,8.44,96.25,6.89,3.46,0.74,112.12,48.9,50.7,3109.2,2305
101,2016-12-05,80.81,5860.2,1724.7,11559,2762.4,2329.4,21179,38.48,41.15,8.78,100.36,6.89,3.39,0.75,112.43,50.97,54.02,3278,2305
102,2016-12-12,81.83,5727.9,1737,11360,2752.6,2331.4,21179,36.4,38.76,8.17,101.39,6.92,3.36,0.74,112.99,51.93,54.91,3409,2305
103,2016-12-19,78.86,5504.1,1717.6,10826,2617.2,2163.3,20981,35.41,38.12,7.71,101.33,6.95,3.32,0.72,111.65,52.56,54.99,3137.8,2305
104,2016-12-26,79.85,5516.5,1705.5,10141.67,2569,2027.33,20961.67,35.78,38.46,7.62,102.72,6.95,3.27,0.72,114.39,53.86,56.32,2947,2305
105,2017-01-02,77.59,5575.5,1698.75,10203.75,2586.75,2052.25,21072.5,36.96,38.39,7.99,103.02,6.93,3.24,0.73,117.32,53.34,56.48,2925.5,2305
106,2017-01-09,79.82,5714.9,1755.7,10288,2713.5,2169.2,21130,39.84,42.04,9.58,104.21,6.92,3.2,0.74,118.99,52.08,55.03,3129.4,2305
107,2017-01-16,81.73,5780.1,1814.1,10140,2748.9,2302.6,20899,39.93,42.93,10.03,105.26,6.87,3.21,0.75,119.51,51.84,54.98,3288.8,2330
108,2017-01-23,82.6,5871.9,1847.7,9678,2799.8,2352.1,20170,41.24,45.35,10.67,105.98,6.87,3.16,0.76,123.855,53.13,55.5,3265.75,2330
109,2017-01-30,83.05,5902,1817.5,10037,2825.9,2324.4,19870,39.39,42.67,9.73,106.86,6.88,3.13,0.76,123.855,53.34,56.22,3174,2330
110,2017-02-06,83.58,5847.4,1840.9,10442,2823.9,2359.4,19027,40.09,45.41,10.46,107.25,6.87,3.12,0.76,128.2,52.88,55.64,3191,2330
111,2017-02-13,91.08,6059.9,1885.7,10850,2892,2357.2,19861,40.28,45.5,10.97,106.95,6.87,3.09,0.77,129.31,53.2,55.75,3420.4,2330
112,2017-02-20,92.67,5987.9,1885.4,10884,2854.7,2276.6,19526,37.97,41.69,10.52,106.01,6.87,3.08,0.77,130.81,54.02,56.27,3522.6,2330
113,2017-02-27,91.71,5969,1917.8,10978,2834.2,2272.4,19327,39.06,41.79,10.18,105.54,6.88,3.11,0.76,131.66,53.57,55.77,3542,2330
114,2017-03-06,88.05,5777.3,1876.2,10540,2706.5,2237.8,19313,35.64,39.39,9.47,104.2,6.91,3.15,0.75,131.29,50.88,53.72,3448.2,2330
115,2017-03-13,90.46,5858,1889.9,10221,2794.5,2260,19859,38.18,43.03,10.13,100.99,6.91,3.13,0.76,131.82,48.5,51.52,3576.8,2330
116,2017-03-20,87.1,5817.5,1925.7,10045,2854.2,2327,20343,36.51,40.84,9.3,101.11,6.89,3.1,0.77,133.63,48.17,50.92,3485.8,2524
117,2017-03-27,81.6,5821.3,1941.2,9898,2809.1,2322.9,19897,36.32,40.68,9.5,100.4,6.88,3.13,0.76,134.56,49.31,52.06,3167.6,2988
118,2017-04-03,79.34,5829.5,1958.5,10116,2755.5,2305.1,20212,36.97,40.61,9.23,102.06,6.89,3.12,0.76,133.74,51.27,54.28,3164,3046
119,2017-04-10,71.45,5733.75,1919.63,9947.5,2610.38,2259,20020,36.09,38.94,8.72,103.22,6.89,3.14,0.75,132.36,53.19,55.99,2965.2,3046
120,2017-04-17,65.53,5639.63,1930.25,9495,2597.88,2159.25,19893.75,35.76,39.53,8.87,102.29,6.88,3.13,0.75,131.35,51.25,53.63,2880.2,3046
121,2017-04-24,66.89,5692.6,1950.3,9343,2617,2192,19713,35.6,39.82,8.58,99.66,6.89,3.16,0.75,133.33,49.34,51.74,2971.2,3046
122,2017-05-01,66.08,5643.75,1917.63,9217.5,2595.75,2200.25,19907.5,34.49,38.9,8.17,98.4,6.9,3.17,0.75,136.06,47.21,50.08,3048.5,2979.5
123,2017-05-08,60.67,5538.5,1882.6,9260,2605.2,2176.4,19820,35.2,38.69,8.26,96.12,6.9,3.16,0.74,137.93,47.06,49.98,3014.8,2953
124,2017-05-15,61.69,5585.7,1917.5,9176,2548.1,2100.6,20099,36.71,41.38,8.42,96.97,6.89,3.19,0.74,139.42,49.32,52.36,3067.2,2953
125,2017-05-22,60.77,5687.2,1945,9221,2638.2,2101,20442,35.84,40.98,8.53,98.67,6.88,3.27,0.75,140.27,50.53,53.12,3273.8,2953
126,2017-05-29,57.56,5629,1926.75,8893.75,2577.63,2102.13,20345,35.47,40.8,8.21,96.7,6.83,3.25,0.74,140.14,48.5,50.61,3110.67,2953
127,2017-06-05,55.63,5646.3,1903.5,8876,2481.4,2094.8,19589,35.39,41.73,8.31,94.87,6.8,3.28,0.75,144.11,46.56,48.73,2971.8,2953
128,2017-06-12,54.73,5707.8,1883.7,8902,2500.9,2087.6,19205,34.7,39.3,7.88,93.95,6.8,3.3,0.76,142.36,45.29,47.66,3043.2,2953
129,2017-06-19,56.57,5729,1880.5,9028,2627.7,2167,19555,34.16,39.17,8.17,92.96,6.83,3.33,0.76,145.39,43.24,45.7,3093,2953
130,2017-06-26,62.25,5858,1888.9,9213,2740,2280.1,19522,35.59,42.31,8.75,93.04,6.8,3.3,0.76,144.13,44.67,47.28,3228.6,2953
131,2017-07-03,63.11,5866.1,1924.4,9165,2778.2,2288.8,19928,37.22,43.5,8.77,95,6.8,3.3,0.76,142.29,45.49,48.38,3393.4,2953
132,2017-07-10,65.03,5870.8,1911.6,9168,2800.1,2307.4,19831,39.4,45.17,9.25,94.34,6.79,3.22,0.77,142.87,45.51,47.89,3545.6,2953
133,2017-07-17,68.22,5991,1923.5,9660,2776.6,2263.2,20061,38.79,44.14,9.02,95.92,6.76,3.15,0.79,143.2,46.49,48.86,3592.6,3095.4
134,2017-07-24,69.34,6230.4,1925.4,9975,2800.5,2295.6,20431,41.14,46.61,9.67,97.32,6.75,3.15,0.8,142.31,48.35,50.7,3551.2,3299
135,2017-07-31,73.42,6343.1,1917.3,10288,2796.7,2345.8,20624,41.21,46.83,9.97,99.13,6.72,3.12,0.8,140.37,49.51,52.26,3735.4,3299
136,2017-08-07,75.88,6415.6,2004.9,10586,2905.8,2370.5,20409,40.35,44.61,9.69,100.25,6.68,3.16,0.79,138.34,49.11,52.24,3979.4,3299
137,2017-08-14,74.94,6450.5,2065.5,10639,3022.5,2408.1,20206,40.4,44.64,10.03,100.27,6.68,3.17,0.79,136.35,47.5,51.11,3785.8,3299
138,2017-08-21,78.59,6617.8,2088.6,11513,3127.6,2380.4,20452,42.56,47.69,10.68,101.63,6.66,3.16,0.79,134.73,47.74,52.11,3879.2,3299
139,2017-08-28,77.13,6807.25,2114,11800,3132.5,2388.75,20532.5,44.16,49.53,11.3,102.72,6.59,3.16,0.79,134.19,46.7,51.89,3896.2,3299
140,2017-09-04,76.61,6881.6,2102.2,12095,3130.6,2349.8,20717,42.99,48.27,11.11,104.58,6.51,3.11,0.8,133.9,48.6,53.96,4036.8,3416.6
141,2017-09-11,74.71,6586.8,2110.9,11450,3049.3,2297.3,20637,41.82,47.63,10.85,106.46,6.54,3.12,0.8,132.61,49.08,54.87,3894.4,3446
142,2017-09-18,67.98,6508.5,2150.7,11046,3099.1,2443.5,20667,41.68,47.82,10.16,106.73,6.58,3.13,0.8,131.74,50.2,55.95,3728.6,3446
143,2017-09-25,63.42,6479.6,2137.3,10509,3127.2,2488.4,20678,40.53,47.19,10.07,107.84,6.64,3.17,0.79,133.57,51.89,57.57,3617.4,3446
144,2017-10-02,61.97,6541.6,2132.9,10598,3266.5,2546.4,20817,41.34,49.08,10.13,107.24,6.65,3.15,0.78,132.52,51.33,57.06,3628.5,3446
145,2017-10-09,61.19,6766.7,2153.7,11150,3247.7,2540.6,20757,42.2,50.01,10.45,106.94,6.59,3.17,0.78,131.47,50.77,56.55,3639.6,3446
146,2017-10-16,62.25,7031.8,2145.2,11852,3150,2520.6,20196,41.27,48.37,10.28,107.77,6.61,3.17,0.78,131.78,51.87,57.77,3723.6,3446
147,2017-10-23,61.64,6983.7,2158,11797,3176.4,2482.4,19724,40.66,47.45,10.01,108.14,6.64,3.25,0.77,135.94,52.62,58.71,3689.4,3446
148,2017-10-30,59.26,6889.1,2173.1,12285,3238.7,2452.3,19488,42.15,49.24,10.09,109.59,6.63,3.28,0.77,137.42,54.6,60.94,3611.2,3446
149,2017-11-06,62.64,6862.3,2127.8,12602,3211.1,2511.5,19481,42.78,49.51,10.07,111.69,6.64,3.26,0.77,138.42,57.05,63.78,3754.6,3446
150,2017-11-13,62.28,6797,2107,11891,3169.3,2457.8,19473,41.38,47.59,10.11,111.87,6.63,3.29,0.76,138.15,55.93,62.26,3734.6,3446
151,2017-11-20,65.35,6896.9,2097.6,11767,3210.7,2467,19424,42.71,49.43,10.98,110.92,6.61,3.24,0.76,139.85,57.56,63.1,3763.2,3381
152,2017-11-27,68.24,6818.1,2085.4,11387,3170.2,2470.4,19505,41.96,48.3,10.9,112.09,6.61,3.24,0.76,141.36,57.83,63.1,3915.2,3121
153,2017-12-04,69.77,6644.7,2041,11051,3134.8,2498.7,19474,41.06,47.17,10.78,110.98,6.62,3.26,0.76,142.18,57.02,62.43,3954.8,3121
154,2017-12-11,70.47,6701.1,2026.5,11123,3158.2,2496.9,19061,43.08,49.12,11.17,111.36,6.62,3.31,0.76,143.39,57.21,63.4,3863,3121
