"","날짜","철광석_가격","미국_수입량","알루미늄","전기동","연","아연","주석","니켈","BHP_close","RIO_close","VALE_close","PDS.원자재.지수","USD.CNY..미국.달러...중국.인민폐.","USD.BRL..미국.달러...브라질.레알.","AUD.USD..호주.달러...미국.달러.","inventory.index"
"38","2015-09-21","56.45","617038.5","403.375","1316.875","419.125","418.375","3901.75","2419","31.87","33.6","4.52","88.07","6.38","4.02","0.7","85.52"
"39","2015-09-28","55.68","565524","415.625","1346.625","416.375","395.625","3964.75","2308","33.06","34.78","4.48","87.59","6.36","4.01","0.7",NA
"40","2015-10-05","54.28","619383.2","405.375","1300.125","415.125","428.625","3824.375","2418.75","37.76","39.74","5.48","88.49","6.35","3.84","0.72","80.93"
"41","2015-10-12","54.84","666208.2","389.125","1303.875","425.875","430.875","3916.125","2530.25","36.06","38.36","4.79","90.61","6.34","3.84","0.73","84.27"
"42","2015-10-19","52.56","713033.2","372.875","1307.625","436.625","433.125","4007.875","2641.75","35.75","38.29","4.73","88.46","6.35","3.91","0.72","83.87"
"43","2015-10-26","50.39","759858.2","356.625","1311.375","447.375","435.375","4099.625","2753.25","32.89","36.51","4.36","87.02","6.35","3.88","0.72","84.45"
"44","2015-11-02","48.94","658220","316.4","1127.6","366.8","374.8","3390.6","2291.2","30.75","34.72","4.14","87.23","6.34","3.8","0.71","87.11"
"45","2015-11-09","48.19","551696.6","304.8","1044.6","345","345.6","3169.6","2068.8","28.41","34.24","3.97","85.71","6.36","3.79","0.71","87.13"
"46","2015-11-16","46","445173.2","293.2","961.6","323.2","316.4","2948.6","1846.4","29.1","34.68","3.8","83.42","6.38","3.78","0.71","86.58"
"47","2015-11-23","44.24","338649.8","281.6","878.6","301.4","287.2","2727.6","1624","26.98","33.11","3.57","83.51","6.39","3.75","0.72","89.17"
"48","2015-11-30","41.42","232126.4","270","795.6","279.6","258","2506.6","1401.6","26.48","31.75","3.28","83.04","6.4","3.82","0.73","91.49"
"49","2015-12-07","38.72","569055","363","1224.375","393.375","403","3690.875","2375.5","23.81","28.53","3.15","81.08","6.43","3.8","0.72","92.09"
"50","2015-12-14","39.43","543878","370","1179.625","414.625","388","3680.625","2240.5","23.93","27.38","3.2","78.25","6.48","3.91","0.72","94.29"
"51","2015-12-21","40.77","518701","377","1134.875","435.875","373","3670.375","2105.5","26.14","29.72","3.3","77.37","6.47","3.97","0.72","97.43"
"52","2015-12-28","42.65","493524","384","1090.125","457.125","358","3660.125","1970.5","25.76","29.12","3.29","78.43","6.49","3.91","0.73","96.08"
"53","2016-01-04","43.03","496630.9","375.375","1178","432","381.75","3791.125","2199.125","21.96","25.07","2.6","77.45","6.54","4.03","0.71","99.06"
"54","2016-01-11","40.67","565948.1","371.625","1136.5","418.5","379.25","3559.875","2146.875","20.19","23.62","2.37","74.12","6.58","4.03","0.7","100.63"
"55","2016-01-18","42.11","635265.4","367.875","1095","405","376.75","3328.625","2094.625","21.48","23.77","2.27","70.23","6.57","4.09","0.69","100.05"
"56","2016-01-25","41.74","704582.6","364.125","1053.5","391.5","374.25","3097.375","2042.375","21.91","24.65","2.45","71.84","6.54","4.07","0.7","98.41"
"57","2016-02-01","44.55","547974.6","284.4","866.2","304.4","262.6","2380","1731.2","22.58","26.21","2.61","74.03","6.57","3.93","0.71","96.57"
"58","2016-02-08","45.73","480485.4","295.8","892.6","329.4","302.4","2755.4","1696.6","22.72","26.52","2.63","72.76","6.56","3.94","0.71",NA
"59","2016-02-15","47.01","412996.2","307.2","919","354.4","342.2","3130.8","1662","23.98","27.37","2.94","72.91","6.52","4.02","0.71","98.13"
"60","2016-02-22","50.56","345507","318.6","945.4","379.4","382","3506.2","1627.4","22.56","25.52","2.71","73.34","6.52","3.96","0.72","98.19"
"61","2016-02-29","51.7","278017.8","330","971.8","404.4","421.8","3881.6","1592.8","27.68","30.32","4.38","75.71","6.54","3.88","0.73","97.86"
"62","2016-03-07","60.08","479446.4","384.625","1104.625","438.5","416","3745.75","2028.25","27.22","29.11","3.83","79.18","6.51","3.69","0.75","96.95"
"63","2016-03-14","55.12","553044.1","383.375","1192.875","447.5","439.5","4081.25","2126.75","27.42","29.13","4.17","80.97","6.49","3.68","0.76","97.5"
"64","2016-03-21","57.86","626641.9","382.125","1281.125","456.5","463","4416.75","2225.25","25.64","27.71","4.04","82.4","6.5","3.65","0.76","96.31"
"65","2016-03-28","54.72","700239.6","380.875","1369.375","465.5","486.5","4752.25","2323.75","25.65","28.17","4.32","81.87","6.48","3.61","0.76","99.43"
"66","2016-04-04","54.57","603130.9","378.625","1249.125","461.875","445.375","4240","2176","24.77","27.99","4.48","81.92","6.47","3.65","0.76","100.72"
