공급사_주가,BHP_close,RIO_close,VALE_close,날짜,PDS 원자재 지수,날짜,USD/RMB_환율,기준일,철광석_가격,날짜,USD/BRL (미국 달러 / 브라질 레알),날짜,AUD/USD (호주 달러 / 미국 달러),중국_재고량,inventory index
2013-12-23,67.410004,55.630001,15.23,,,2013-12-23,6.11,2013-12-27,133.83,2013-12-23,2.35,2013-12-23,0.89,2014-01-03,89.3
2013-12-30,67.519997,55.110001,14.33,,,2013-12-30,6.1,2014-01-03,135,2013-12-30,2.37,2013-12-30,0.89,2014-01-10,91.44
2014-01-06,65.800003,51.939999,13.72,,,2014-01-06,6.11,2014-01-10,134.2,2014-01-06,2.38,2014-01-06,0.89,2014-01-17,96.09
2014-01-13,67.050003,55.040001,13.79,,,2014-01-13,6.1,2014-01-17,131.1,2014-01-13,2.35,2014-01-13,0.89,2014-01-24,98.12
2014-01-20,62.990002,51.18,12.9,,,2014-01-20,6.11,2014-01-24,125.7,2014-01-20,2.38,2014-01-20,0.88,2014-02-07,102.86
2014-01-27,63.950001,53.150002,13.6,,,2014-01-27,6.11,2014-01-31,125.5,2014-01-27,2.42,2014-01-27,0.88,2014-02-14,106.12
2014-02-03,65.650002,56.169998,14.38,,,2014-02-03,6.11,2014-02-07,124.2,2014-02-03,2.4,2014-02-03,0.89,2014-02-21,107.2
2014-02-10,68.32,58.900002,14.66,,,2014-02-10,6.11,2014-02-14,122.9,2014-02-10,2.4,2014-02-10,0.9,2014-02-28,106.01
2014-02-17,70.639999,59.689999,14.73,,,2014-02-17,6.11,2014-02-21,125.1,2014-02-17,2.38,2014-02-17,0.9,2014-03-07,108.57
2014-02-24,68.900002,57.299999,14.17,,,2014-02-24,6.12,2014-02-28,119.2,2014-02-24,2.34,2014-02-24,0.9,2014-03-14,110.65
2014-03-03,66.709999,53.389999,13.04,,,2014-03-03,6.12,2014-03-07,116.6,2014-03-03,2.33,2014-03-03,0.9,2014-03-21,111.93
2014-03-10,64.239998,52.110001,12.49,,,2014-03-10,6.13,2014-03-14,109.2,2014-03-10,2.36,2014-03-10,0.9,2014-03-28,111.58
2014-03-17,64.75,52.650002,13.04,,,2014-03-17,6.14,2014-03-21,110.75,2014-03-17,2.34,2014-03-17,0.91,2014-04-04,111.02
2014-03-24,67.43,54.740002,13.68,,,2014-03-24,6.15,2014-03-28,112.6,2014-03-24,2.29,2014-03-24,0.92,2014-04-11,111.65
2014-03-31,69.900002,55.299999,14.48,,,2014-03-31,6.15,2014-04-04,116.7,2014-03-31,2.26,2014-03-31,0.93,2014-04-18,110.58
2014-04-07,70.400002,55.709999,14.76,,,2014-04-07,6.15,2014-04-11,117.37,2014-04-07,2.21,2014-04-07,0.94,2014-04-25,112.63
2014-04-14,71.150002,55.259998,14.1,,,2014-04-14,6.16,2014-04-25,112.69,2014-04-14,2.23,2014-04-14,0.94,2014-05-02,113.06
2014-04-21,70.75,55.060001,13.51,,,2014-04-21,6.16,2014-05-02,107.43,2014-04-21,2.23,2014-04-21,0.93,2014-05-09,112.6
2014-04-28,69.889999,54.610001,13.57,,,2014-04-28,6.16,2014-05-09,105.43,2014-04-28,2.23,2014-04-28,0.93,2014-05-16,114.75
2014-05-05,69.510002,54.119999,13.23,,,2014-05-05,6.16,2014-05-16,102.65,2014-05-05,2.22,2014-05-05,0.93,2014-05-23,115.35
2014-05-12,70.800003,55.18,13.73,,,2014-05-12,6.16,2014-05-23,98.62,2014-05-12,2.22,2014-05-12,0.94,2014-05-30,115.88
2014-05-19,69.949997,54.619999,13.18,,,2014-05-19,6.16,2014-05-30,96.35,2014-05-19,2.21,2014-05-19,0.93,2014-06-06,115.76
2014-05-26,67.879997,51.380001,12.75,,,2014-05-26,6.17,2014-06-06,93.63,2014-05-26,2.23,2014-05-26,0.93,2014-06-13,115.7
2014-06-02,67.949997,53.470001,13.09,,,2014-06-02,6.17,2014-06-13,92.79,2014-06-02,2.27,2014-06-02,0.93,2014-06-20,116.21
2014-06-09,66.779999,51.599998,12.81,,,2014-06-09,6.15,2014-06-20,90.82,2014-06-09,2.23,2014-06-09,0.94,2014-06-27,114.81
2014-06-16,67.959999,52.619999,12.86,,,2014-06-16,6.15,2014-06-27,94.49,2014-06-16,2.23,2014-06-16,0.94,2014-07-04,116.18
2014-06-23,68.889999,53.43,13.29,,,2014-06-23,6.15,2014-07-04,95.11,2014-06-23,2.21,2014-06-23,0.94,2014-07-11,116.16
2014-06-30,71.089996,56.669998,14.03,,,2014-06-30,6.16,2014-07-11,96.34,2014-06-30,2.21,2014-06-30,0.94,2014-07-18,115.46
2014-07-07,70.669998,55.16,13.86,,,2014-07-07,6.16,2014-07-18,97.79,2014-07-07,2.22,2014-07-07,0.94,2014-07-25,113.45
2014-07-14,72.07,56.509998,14.08,,,2014-07-14,6.15,2014-07-25,94.75,2014-07-14,2.23,2014-07-14,0.94,2014-08-01,113.33
2014-07-21,73.230003,58.240002,14.56,,,2014-07-21,6.16,2014-08-01,95.95,2014-07-21,2.22,2014-07-21,0.94,2014-08-08,111.89
2014-07-28,70.949997,56.639999,14.01,,,2014-07-28,6.16,2014-08-08,95.49,2014-07-28,2.24,2014-07-28,0.93,2014-08-15,110.67
2014-08-04,71.040001,57.48,13.83,,,2014-08-04,6.16,2014-08-15,94.2,2014-08-04,2.28,2014-08-04,0.93,2014-08-22,110.8
2014-08-11,72.449997,57.330002,13.71,,,2014-08-11,6.15,2014-08-22,92.17,2014-08-11,2.27,2014-08-11,0.93,2014-08-29,112.37
2014-08-18,69.709999,56.299999,13.74,,,2014-08-18,6.16,2014-08-29,88.16,2014-08-18,2.26,2014-08-18,0.93,2014-09-05,112.69
2014-08-25,68.629997,53.740002,13.06,,,2014-08-25,6.17,2014-09-05,83.23,2014-08-25,2.26,2014-08-25,0.93,2014-09-12,113.41
2014-09-01,66.75,52.959999,12.68,,,2014-09-01,6.17,2014-09-12,82.94,2014-09-01,2.24,2014-09-01,0.93,2014-09-19,113.7
2014-09-08,65.160004,52.279999,12.3,,,2014-09-08,6.15,2014-09-19,83.84,2014-09-08,2.29,2014-09-08,0.92,2014-09-26,110.69
2014-09-15,63.310001,51.68,12,,,2014-09-15,6.15,2014-09-26,79.4,2014-09-15,2.35,2014-09-15,0.9,2014-10-10,108.51
2014-09-22,59.830002,50.470001,11.19,,,2014-09-22,6.15,2014-10-03,78.82,2014-09-22,2.41,2014-09-22,0.88,2014-10-17,106.58
2014-09-29,57.23,47.169998,11.02,,,2014-09-29,6.15,2014-10-10,79.93,2014-09-29,2.46,2014-09-29,0.87,2014-10-24,105.81
2014-10-06,55.73,47.75,10.9,,,2014-10-06,6.15,2014-10-17,82.34,2014-10-06,2.41,2014-10-06,0.88,2014-10-31,107.18
2014-10-13,59.040001,49.93,10.94,,,2014-10-13,6.14,2014-10-24,81.05,2014-10-13,2.43,2014-10-13,0.88,2014-11-07,106.24
2014-10-20,59.139999,49.040001,11.16,,,2014-10-20,6.14,2014-10-31,79.45,2014-10-20,2.48,2014-10-20,0.88,2014-11-14,107.43
2014-10-27,59.439999,47.970001,10.09,,,2014-10-27,6.14,2014-11-07,76.86,2014-10-27,2.47,2014-10-27,0.88,2014-11-21,108.05
2014-11-03,59.880001,48.369999,9.43,,,2014-11-03,6.15,2014-11-14,75.86,2014-11-03,2.53,2014-11-03,0.86,2014-11-28,106.89
2014-11-10,58.43,48.07,8.87,,,2014-11-10,6.14,2014-11-21,71.67,2014-11-10,2.57,2014-11-10,0.87,2014-12-05,108.05
2014-11-17,57.34,47.509998,9.41,,,2014-11-17,6.14,2014-11-28,69.96,2014-11-17,2.57,2014-11-17,0.87,2014-12-12,104.89
2014-11-24,51.630001,46.599998,9.01,,,2014-11-24,6.14,2014-12-05,70.81,2014-11-24,2.54,2014-11-24,0.85,2014-12-19,102.77
2014-12-01,50.380001,45.290001,8.38,,,2014-12-01,6.14,2014-12-12,69.27,2014-12-01,2.57,2014-12-01,0.84,2014-12-26,100.59
2014-12-08,46.18,41.779999,7.19,,,2014-12-08,6.12,2014-12-19,68.66,2014-12-08,2.62,2014-12-08,0.83,2015-01-04,98.24
2014-12-15,48.389999,45.380001,8.14,,,2014-12-15,6.12,2014-12-26,67.23,2014-12-15,2.69,2014-12-15,0.82,2015-01-09,98.7
2014-12-22,47.529999,45.84,8.16,,,2014-12-22,6.12,2015-01-02,70.6,2014-12-22,2.69,2014-12-22,0.81,2015-01-16,98.91
2014-12-29,47.540001,45.720001,7.94,2014-12-29,100,2014-12-29,6.12,2015-01-09,71.17,2014-12-29,2.67,2014-12-29,0.81,2015-01-23,98.22
2015-01-05,46.93,45.529999,8.55,2015-01-05,98.22,2015-01-05,6.13,2015-01-16,68.92,2015-01-05,2.68,2015-01-05,0.81,2015-01-30,99.77
2015-01-12,46.139999,44.200001,8.41,2015-01-12,93.71,2015-01-12,6.12,2015-01-23,67.45,2015-01-12,2.64,2015-01-12,0.82,2015-02-06,98.48
2015-01-19,45.5,43.080002,7.85,2015-01-19,93.25,2015-01-19,6.13,2015-01-30,63.12,2015-01-19,2.6,2015-01-19,0.81,2015-02-13,96.69
2015-01-26,46.330002,44.130001,7.03,2015-01-26,93.87,2015-01-26,6.13,2015-02-06,62.47,2015-01-26,2.61,2015-01-26,0.79,2015-02-27,98.29
2015-02-02,48.290001,46.240002,7.35,2015-02-02,95.68,2015-02-02,6.13,2015-02-13,62.24,2015-02-02,2.74,2015-02-02,0.78,2015-03-06,99.38
2015-02-09,51.189999,49.369999,8.05,2015-02-09,99.94,2015-02-09,6.13,2015-02-20,63.91,2015-02-09,2.83,2015-02-09,0.78,2015-03-13,100.28
2015-02-16,50.48,49.939999,7.83,2015-02-16,103.17,2015-02-16,6.13,2015-02-27,63.06,2015-02-16,2.84,2015-02-16,0.78,2015-03-20,99.19
2015-02-23,52.52,49.330002,7.42,2015-02-23,102.72,2015-02-23,6.14,2015-03-06,61.25,2015-02-23,2.87,2015-02-23,0.78,2015-03-27,100.13
2015-03-02,49.349998,44.23,6.42,2015-03-02,103.33,2015-03-02,6.15,2015-03-13,57.99,2015-03-02,2.98,2015-03-02,0.78,2015-04-03,97.24
2015-03-09,44.549999,41.900002,5.82,2015-03-09,102.29,2015-03-09,6.16,2015-03-20,56.2,2015-03-09,3.15,2015-03-09,0.77,2015-04-10,97.37
2015-03-16,48.060001,43.580002,6.26,2015-03-16,99.69,2015-03-16,6.15,2015-03-27,55,2015-03-16,3.24,2015-03-16,0.77,2015-04-17,97.58
2015-03-23,47.099998,41.880001,5.67,2015-03-23,99.44,2015-03-23,6.14,2015-04-03,50.16,2015-03-23,3.18,2015-03-23,0.78,2015-04-24,97.16
2015-03-30,45.560001,41.200001,5.76,2015-03-30,100.86,2015-03-30,6.14,2015-04-10,47.81,2015-03-30,3.17,2015-03-30,0.76,2015-04-30,95.07
2015-04-06,45.82,41.450001,6.04,2015-04-06,100.93,2015-04-06,6.13,2015-04-17,50.13,2015-04-06,3.09,2015-04-06,0.77,2015-05-08,89.91
2015-04-13,46.439999,42.02,5.87,2015-04-13,102.63,2015-04-13,6.13,2015-04-24,53.86,2015-04-13,3.06,2015-04-13,0.77,2015-05-15,86.56
2015-04-20,51.040001,45.720001,7.92,2015-04-20,106.4,2015-04-20,6.13,2015-05-01,58.07,2015-04-20,3,2015-04-20,0.78,2015-05-22,84.92
2015-04-27,51.919998,45.869999,8.07,2015-04-27,108.56,2015-04-27,6.12,2015-05-08,59.78,2015-04-27,2.97,2015-04-27,0.79,2015-05-29,83.31
2015-05-04,50.799999,46.110001,7.63,2015-05-04,110.14,2015-05-04,6.11,2015-05-15,62.42,2015-05-04,3.04,2015-05-04,0.79,2015-06-05,82.73
2015-05-11,51.549999,46.130001,7.12,2015-05-11,110.29,2015-05-11,6.11,2015-05-22,58.83,2015-05-11,3.02,2015-05-11,0.8,2015-06-12,80.74
2015-05-18,45.869999,44.880001,6.57,2015-05-18,110.02,2015-05-18,6.11,2015-05-29,62.25,2015-05-18,3.04,2015-05-18,0.79,2015-06-19,79.62
2015-05-25,44.630001,43.77,6.3,2015-05-25,107.68,2015-05-25,6.12,2015-06-05,63.89,2015-05-25,3.15,2015-05-25,0.77,2015-06-26,78.71
2015-06-01,42.91,43.630001,6.51,2015-06-01,106.16,2015-06-01,6.12,2015-06-12,64.95,2015-06-01,3.15,2015-06-01,0.77,2015-07-03,81.77
2015-06-08,43.299999,44.040001,6.81,2015-06-08,105.89,2015-06-08,6.12,2015-06-19,62.36,2015-06-08,3.11,2015-06-08,0.77,2015-07-10,82.01
2015-06-15,43.810001,43.16,6.51,2015-06-15,106.99,2015-06-15,6.11,2015-06-26,61.62,2015-06-15,3.09,2015-06-15,0.78,2015-07-17,81.15
2015-06-22,42.689999,42.84,6.23,2015-06-22,106.15,2015-06-22,6.11,2015-07-03,58.15,2015-06-22,3.1,2015-06-22,0.77,2015-07-24,81.75
2015-06-29,41.290001,41.040001,5.85,2015-06-29,105.47,2015-06-29,6.12,2015-07-10,49.11,2015-06-29,3.12,2015-06-29,0.76,2015-07-31,80.68
2015-07-06,39.470001,39.139999,5.43,2015-07-06,102.39,2015-07-06,6.12,2015-07-17,50.39,2015-07-06,3.19,2015-07-06,0.75,2015-08-07,81.56
2015-07-13,39.560001,40.349998,5.46,2015-07-13,100.45,2015-07-13,6.12,2015-07-24,51.88,2015-07-13,3.15,2015-07-13,0.74,2015-08-14,81.67
2015-07-20,36.299999,37.389999,5.05,2015-07-20,98.67,2015-07-20,6.12,2015-07-31,54.15,2015-07-20,3.25,2015-07-20,0.74,2015-08-21,81.04
2015-07-27,38.369999,38.619999,5.26,2015-07-27,96.28,2015-07-27,6.12,2015-08-07,56.03,2015-07-27,3.37,2015-07-27,0.73,2015-08-28,80.59
2015-08-03,38.639999,39.799999,5.28,2015-08-03,93.42,2015-08-03,6.12,2015-08-14,56.57,2015-08-03,3.49,2015-08-03,0.74,2015-09-06,79.94
2015-08-10,37.880001,38.59,5.23,2015-08-10,92.07,2015-08-10,6.3,2015-08-21,56.39,2015-08-10,3.48,2015-08-10,0.74,2015-09-11,81.25
2015-08-17,34.68,35.990002,4.75,2015-08-17,90.63,2015-08-17,6.39,2015-08-28,54.07,2015-08-17,3.48,2015-08-17,0.73,2015-09-18,82.9
2015-08-24,36.689999,36.599998,4.83,2015-08-24,86.2,2015-08-24,6.4,2015-09-04,56.5,2015-08-24,3.58,2015-08-24,0.71,2015-09-25,85.52
2015-08-31,33.75,34.23,4.73,2015-08-31,88.69,2015-08-31,6.38,2015-09-11,57.87,2015-08-31,3.73,2015-08-31,0.7,2015-10-09,80.93
2015-09-07,34.07,37.209999,4.98,2015-09-07,88.97,2015-09-07,6.37,2015-09-18,57.53,2015-09-07,3.83,2015-09-07,0.7,2015-10-16,84.27
2015-09-14,34.599998,35.52,4.98,2015-09-14,88.68,2015-09-14,6.37,2015-09-25,56.45,2015-09-14,3.87,2015-09-14,0.72,2015-10-23,83.87
2015-09-21,31.870001,33.599998,4.52,2015-09-21,88.07,2015-09-21,6.37,2015-10-02,55.68,2015-09-21,4.02,2015-09-21,0.7,2015-10-30,84.45
2015-09-28,33.060001,34.779999,4.48,2015-09-28,87.59,2015-09-28,6.37,2015-10-09,54.28,2015-09-28,4.01,2015-09-28,0.7,2015-11-06,87.11
2015-10-05,37.759998,39.740002,5.48,2015-10-05,88.49,2015-10-05,6.35,2015-10-16,54.84,2015-10-05,3.84,2015-10-05,0.72,2015-11-13,87.13
2015-10-12,36.060001,38.360001,4.79,2015-10-12,90.61,2015-10-12,6.34,2015-10-23,52.56,2015-10-12,3.84,2015-10-12,0.73,2015-11-20,86.58
2015-10-19,35.75,38.290001,4.73,2015-10-19,88.46,2015-10-19,6.35,2015-10-30,50.39,2015-10-19,3.91,2015-10-19,0.72,2015-11-27,89.17
2015-10-26,32.889999,36.509998,4.36,2015-10-26,87.02,2015-10-26,6.35,2015-11-06,48.94,2015-10-26,3.88,2015-10-26,0.72,2015-12-04,91.49
2015-11-02,30.75,34.720001,4.14,2015-11-02,87.23,2015-11-02,6.33,2015-11-13,48.19,2015-11-02,3.8,2015-11-02,0.71,2015-12-11,92.09
2015-11-09,28.41,34.240002,3.97,2015-11-09,85.71,2015-11-09,6.36,2015-11-20,46,2015-11-09,3.79,2015-11-09,0.71,2015-12-18,94.29
2015-11-16,29.1,34.68,3.8,2015-11-16,83.42,2015-11-16,6.38,2015-11-27,44.24,2015-11-16,3.78,2015-11-16,0.71,2015-12-25,97.43
2015-11-23,26.98,33.110001,3.57,2015-11-23,83.51,2015-11-23,6.39,2015-12-04,41.42,2015-11-23,3.75,2015-11-23,0.72,2015-12-31,96.08
2015-11-30,26.48,31.75,3.28,2015-11-30,83.04,2015-11-30,6.39,2015-12-11,38.72,2015-11-30,3.82,2015-11-30,0.73,2016-01-08,99.06
2015-12-07,23.809999,28.530001,3.15,2015-12-07,81.08,2015-12-07,6.42,2015-12-18,39.43,2015-12-07,3.8,2015-12-07,0.72,2016-01-15,100.63
2015-12-14,23.93,27.379999,3.2,2015-12-14,78.25,2015-12-14,6.47,2015-12-25,40.77,2015-12-14,3.91,2015-12-14,0.72,2016-01-22,100.05
2015-12-21,26.139999,29.719999,3.3,2015-12-21,77.37,2015-12-21,6.47,2016-01-01,42.65,2015-12-21,3.97,2015-12-21,0.72,2016-01-29,98.41
2015-12-28,25.76,29.120001,3.29,2015-12-28,78.43,2015-12-28,6.49,2016-01-08,43.03,2015-12-28,3.91,2015-12-28,0.73,2016-02-02,96.57
2016-01-04,21.959999,25.07,2.6,2016-01-04,77.45,2016-01-04,6.54,2016-01-15,40.67,2016-01-04,4.03,2016-01-04,0.71,2016-02-19,98.13
2016-01-11,20.190001,23.620001,2.37,2016-01-11,74.12,2016-01-11,6.56,2016-01-22,42.11,2016-01-11,4.03,2016-01-11,0.7,2016-02-26,98.19
2016-01-18,21.48,23.77,2.27,2016-01-18,70.23,2016-01-18,6.56,2016-01-29,41.74,2016-01-18,4.09,2016-01-18,0.69,2016-03-04,97.86
2016-01-25,21.91,24.65,2.45,2016-01-25,71.84,2016-01-25,6.55,2016-02-05,44.55,2016-01-25,4.07,2016-01-25,0.7,2016-03-11,96.95
2016-02-01,22.58,26.209999,2.61,2016-02-01,74.03,2016-02-01,6.55,2016-02-12,45.73,2016-02-01,3.93,2016-02-01,0.71,2016-03-18,97.5
2016-02-08,22.719999,26.52,2.63,2016-02-08,72.76,2016-02-15,6.52,2016-02-19,47.01,2016-02-08,3.94,2016-02-08,0.71,2016-03-25,96.31
2016-02-15,23.98,27.370001,2.94,2016-02-15,72.91,2016-02-22,6.53,2016-02-26,50.56,2016-02-15,4.02,2016-02-15,0.71,2016-04-01,99.43
2016-02-22,22.559999,25.52,2.71,2016-02-22,73.34,2016-02-29,6.54,2016-03-04,51.7,2016-02-22,3.96,2016-02-22,0.72,2016-04-08,100.72
2016-02-29,27.68,30.32,4.38,2016-02-29,75.71,2016-03-07,6.51,2016-03-11,60.08,2016-02-29,3.88,2016-02-29,0.73,2016-04-15,99.14
2016-03-07,27.219999,29.110001,3.83,2016-03-07,79.18,2016-03-14,6.5,2016-03-18,55.12,2016-03-07,3.69,2016-03-07,0.75,2016-04-22,99.39
2016-03-14,27.42,29.129999,4.17,2016-03-14,80.97,2016-03-21,6.5,2016-03-25,57.86,2016-03-14,3.68,2016-03-14,0.76,2016-04-29,100.08
2016-03-21,25.639999,27.709999,4.04,2016-03-21,82.4,2016-03-28,6.49,2016-04-01,54.72,2016-03-21,3.65,2016-03-21,0.76,2016-05-06,100.67
2016-03-28,25.65,28.17,4.32,2016-03-28,81.87,2016-04-04,6.47,2016-04-08,54.57,2016-03-28,3.61,2016-03-28,0.76,2016-05-13,99.37
2016-04-04,24.77,27.99,4.48,2016-04-04,81.92,2016-04-11,6.47,2016-04-15,58.8,2016-04-04,3.65,2016-04-04,0.76,2016-05-20,101.78
2016-04-11,28.91,31.67,5.29,2016-04-11,83.92,2016-04-18,6.48,2016-04-22,64.95,2016-04-11,3.5,2016-04-11,0.77,2016-05-27,101.86
2016-04-18,31.82,33.560001,5.42,2016-04-18,85.52,2016-04-25,6.49,2016-04-29,63.82,2016-04-18,3.55,2016-04-18,0.78,2016-06-03,100.17
2016-04-25,31.34,33.66,5.67,2016-04-25,87.73,2016-05-02,6.5,2016-05-06,60.51,2016-04-25,3.51,2016-04-25,0.77,2016-06-12,100.7
2016-05-02,27.93,30.9,4.78,2016-05-02,88.81,2016-05-09,6.52,2016-05-13,55.08,2016-05-02,3.53,2016-05-02,0.75,2016-06-17,100.57
2016-05-09,26.6,28.290001,4.13,2016-05-09,87.56,2016-05-16,6.54,2016-05-20,55.05,2016-05-09,3.49,2016-05-09,0.73,2016-06-24,102.68
2016-05-16,26.84,28.309999,3.98,2016-05-16,89.4,2016-05-23,6.55,2016-05-27,50.72,2016-05-16,3.54,2016-05-16,0.73,2016-07-01,104.61
2016-05-23,27.5,28.73,3.98,2016-05-23,89.62,2016-05-30,6.58,2016-06-03,49.42,2016-05-23,3.58,2016-05-23,0.72,2016-07-08,106.57
2016-05-30,27.809999,28.34,4.61,2016-05-30,89.73,2016-06-06,6.56,2016-06-10,52.27,2016-05-30,3.58,2016-05-30,0.73,2016-07-15,108.4
2016-06-06,26.73,27.940001,4.41,2016-06-06,91.29,2016-06-13,6.58,2016-06-17,51.18,2016-06-06,3.42,2016-06-06,0.74,2016-07-22,108.84
2016-06-13,27.709999,29.190001,4.46,2016-06-13,90.98,2016-06-20,6.57,2016-06-24,51.34,2016-06-13,3.46,2016-06-13,0.74,2016-07-29,108.64
2016-06-20,27.23,28.76,4.55,2016-06-20,90.36,2016-06-27,6.64,2016-07-01,54.28,2016-06-20,3.38,2016-06-20,0.75,2016-08-05,108.21
2016-06-27,28.620001,31.57,5.16,2016-06-27,90.74,2016-07-04,6.67,2016-07-08,55.66,2016-06-27,3.28,2016-06-27,0.74,2016-08-12,107.54
2016-07-04,29.34,31.59,4.95,2016-07-04,91.02,2016-07-11,6.69,2016-07-15,58.22,2016-07-04,3.32,2016-07-04,0.75,2016-08-19,106.41
2016-07-11,30.5,32.860001,5.36,2016-07-11,89.42,2016-07-18,6.69,2016-07-22,56.33,2016-07-11,3.27,2016-07-11,0.76,2016-08-26,105.4
2016-07-18,28.549999,31.35,5.31,2016-07-18,89.03,2016-07-25,6.67,2016-07-29,58.73,2016-07-18,3.26,2016-07-18,0.75,2016-09-02,104.24
2016-07-25,29.690001,32.82,5.75,2016-07-25,87.15,2016-08-01,6.64,2016-08-05,61.22,2016-07-25,3.27,2016-07-25,0.75,2016-09-09,103.46
2016-08-01,31.02,32.740002,6.02,2016-08-01,85.56,2016-08-08,6.65,2016-08-12,60.47,2016-08-01,3.23,2016-08-01,0.76,2016-09-16,104.01
2016-08-08,30.969999,31.08,5.64,2016-08-08,86.82,2016-08-15,6.63,2016-08-19,60.96,2016-08-08,3.16,2016-08-08,0.77,2016-09-23,102.72
2016-08-15,31.940001,32.060001,5.97,2016-08-15,88.98,2016-08-22,6.66,2016-08-26,61.05,2016-08-15,3.21,2016-08-15,0.77,2016-09-30,106.48
2016-08-22,32.09,31.540001,5.45,2016-08-22,90.45,2016-08-29,6.68,2016-09-02,59.13,2016-08-22,3.23,2016-08-22,0.76,2016-10-09,104.61
2016-08-29,30.620001,31.129999,5.6,2016-08-29,89.52,2016-09-05,6.67,2016-09-09,58.56,2016-08-29,3.24,2016-08-29,0.75,2016-10-14,105.68
2016-09-05,30.74,30.74,5.19,2016-09-05,88.69,2016-09-12,6.68,2016-09-16,56,2016-09-05,3.23,2016-09-05,0.76,2016-10-21,106.86
