"","X","중국_생산량.10000톤.","X.1","중국_수입량.10000톤.","X.2","미국_수입량","LME_date...톤.","알루미늄","전기동","연","아연","주석","니켈","X.3","브라질_수출량.1000톤.","공급사_주가","BHP_close","RIO_close","VALE_close","날짜","PDS.원자재.지수","날짜.1","USD.RMB_환율","기준일","철광석_가격","날짜.2","USD.BRL..미국.달러...브라질.레알.","날짜.3","AUD.USD..호주.달러...미국.달러.","중국_재고량","inventory.index"
"29","2014-01-01","9788.3","2014-01-01","8683.461","2014-01-01","2,907,755","2014-01-01","1,726","7,295","2,149","2,038","22,072","14,079","2014-01-01",NA,"2014-01-13","67.05","55.04","13.79","",NA,"2014-01-13","6.1","2014-01-17","131.1","2014-01-13","2.35","2014-01-13","0.89","2014-01-24","98.12"
"30","2014-01-01","9788.3","2014-01-01","8683.461","2014-01-01","2,907,755","2014-01-01","1,726","7,295","2,149","2,038","22,072","14,079","2014-01-01",NA,"2014-01-20","62.99","51.18","12.9","",NA,"2014-01-20","6.11","2014-01-24","125.7","2014-01-20","2.38","2014-01-20","0.88","2014-02-07","102.86"
"31","2014-01-01","9788.3","2014-01-01","8683.461","2014-01-01","2,907,755","2014-01-01","1,726","7,295","2,149","2,038","22,072","14,079","2014-01-01",NA,"2014-01-27","63.95","53.15","13.6","",NA,"2014-01-27","6.11","2014-01-31","125.5","2014-01-27","2.42","2014-01-27","0.88","2014-02-14","106.12"
"32","2014-02-01","8841","2014-02-01","6124.212","2014-02-01","2,980,898","2014-02-01","1,694","7,152","2,110","2,035","22,809","14,195","2014-02-01",NA,"2014-02-03","65.65","56.17","14.38","",NA,"2014-02-03","6.11","2014-02-07","124.2","2014-02-03","2.4","2014-02-03","0.89","2014-02-21","107.2"
"33","2014-02-01","8841","2014-02-01","6124.212","2014-02-01","2,980,898","2014-02-01","1,694","7,152","2,110","2,035","22,809","14,195","2014-02-01",NA,"2014-02-10","68.32","58.9","14.66","",NA,"2014-02-10","6.11","2014-02-14","122.9","2014-02-10","2.4","2014-02-10","0.9","2014-02-28","106.01"
"34","2014-02-01","8841","2014-02-01","6124.212","2014-02-01","2,980,898","2014-02-01","1,694","7,152","2,110","2,035","22,809","14,195","2014-02-01",NA,"2014-02-17","70.64","59.69","14.73","",NA,"2014-02-17","6.11","2014-02-21","125.1","2014-02-17","2.38","2014-02-17","0.9","2014-03-07","108.57"
"35","2014-02-01","8841","2014-02-01","6124.212","2014-02-01","2,980,898","2014-02-01","1,694","7,152","2,110","2,035","22,809","14,195","2014-02-01",NA,"2014-02-24","68.9","57.3","14.17","",NA,"2014-02-24","6.12","2014-02-28","119.2","2014-02-24","2.34","2014-02-24","0.9","2014-03-14","110.65"
"36","2014-03-01","12133.8","2014-03-01","7396.186","2014-03-01","2,933,841","2014-03-01","1,704","6,668","2,056","2,014","23,098","15,660","2014-03-01",NA,"2014-03-03","66.71","53.39","13.04","",NA,"2014-03-03","6.12","2014-03-07","116.6","2014-03-03","2.33","2014-03-03","0.9","2014-03-21","111.93"
"37","2014-03-01","12133.8","2014-03-01","7396.186","2014-03-01","2,933,841","2014-03-01","1,704","6,668","2,056","2,014","23,098","15,660","2014-03-01",NA,"2014-03-10","64.24","52.11","12.49","",NA,"2014-03-10","6.13","2014-03-14","109.2","2014-03-10","2.36","2014-03-10","0.9","2014-03-28","111.58"
"38","2014-03-01","12133.8","2014-03-01","7396.186","2014-03-01","2,933,841","2014-03-01","1,704","6,668","2,056","2,014","23,098","15,660","2014-03-01",NA,"2014-03-17","64.75","52.65","13.04","",NA,"2014-03-17","6.14","2014-03-21","110.75","2014-03-17","2.34","2014-03-17","0.91","2014-04-04","111.02"
"39","2014-03-01","12133.8","2014-03-01","7396.186","2014-03-01","2,933,841","2014-03-01","1,704","6,668","2,056","2,014","23,098","15,660","2014-03-01",NA,"2014-03-24","67.43","54.74","13.68","",NA,"2014-03-24","6.15","2014-03-28","112.6","2014-03-24","2.29","2014-03-24","0.92","2014-04-11","111.65"
"40","2014-03-01","12133.8","2014-03-01","7396.186","2014-03-01","2,933,841","2014-03-01","1,704","6,668","2,056","2,014","23,098","15,660","2014-03-01",NA,"2014-03-31","69.9","55.3","14.48","",NA,"2014-03-31","6.15","2014-04-04","116.7","2014-03-31","2.26","2014-03-31","0.93","2014-04-18","110.58"
"41","2014-04-01","12374.4","2014-04-01","8338.666","2014-04-01","3,391,086","2014-04-01","1,809","6,671","2,086","2,031","23,422","17,375","2014-04-01",NA,"2014-04-07","70.4","55.71","14.76","",NA,"2014-04-07","6.15","2014-04-11","117.37","2014-04-07","2.21","2014-04-07","0.94","2014-04-25","112.63"
"42","2014-04-01","12374.4","2014-04-01","8338.666","2014-04-01","3,391,086","2014-04-01","1,809","6,671","2,086","2,031","23,422","17,375","2014-04-01",NA,"2014-04-14","71.15","55.26","14.1","",NA,"2014-04-14","6.16","2014-04-25","112.69","2014-04-14","2.23","2014-04-14","0.94","2014-05-02","113.06"
"43","2014-04-01","12374.4","2014-04-01","8338.666","2014-04-01","3,391,086","2014-04-01","1,809","6,671","2,086","2,031","23,422","17,375","2014-04-01",NA,"2014-04-21","70.75","55.06","13.51","",NA,"2014-04-21","6.16","2014-05-02","107.43","2014-04-21","2.23","2014-04-21","0.93","2014-05-09","112.6"
"44","2014-04-01","12374.4","2014-04-01","8338.666","2014-04-01","3,391,086","2014-04-01","1,809","6,671","2,086","2,031","23,422","17,375","2014-04-01",NA,"2014-04-28","69.89","54.61","13.57","",NA,"2014-04-28","6.16","2014-05-09","105.43","2014-04-28","2.23","2014-04-28","0.93","2014-05-16","114.75"
"45","2014-05-01","13057.9","2014-05-01","7738.17","2014-05-01","3,658,999","2014-05-01","1,749","6,884","2,097","2,060","23,314","19,440","2014-05-01",NA,"2014-05-05","69.51","54.12","13.23","",NA,"2014-05-05","6.16","2014-05-16","102.65","2014-05-05","2.22","2014-05-05","0.93","2014-05-23","115.35"
"46","2014-05-01","13057.9","2014-05-01","7738.17","2014-05-01","3,658,999","2014-05-01","1,749","6,884","2,097","2,060","23,314","19,440","2014-05-01",NA,"2014-05-12","70.8","55.18","13.73","",NA,"2014-05-12","6.16","2014-05-23","98.62","2014-05-12","2.22","2014-05-12","0.94","2014-05-30","115.88"
"47","2014-05-01","13057.9","2014-05-01","7738.17","2014-05-01","3,658,999","2014-05-01","1,749","6,884","2,097","2,060","23,314","19,440","2014-05-01",NA,"2014-05-19","69.95","54.62","13.18","",NA,"2014-05-19","6.16","2014-05-30","96.35","2014-05-19","2.21","2014-05-19","0.93","2014-06-06","115.76"
"48","2014-05-01","13057.9","2014-05-01","7738.17","2014-05-01","3,658,999","2014-05-01","1,749","6,884","2,097","2,060","23,314","19,440","2014-05-01",NA,"2014-05-26","67.88","51.38","12.75","",NA,"2014-05-26","6.17","2014-06-06","93.63","2014-05-26","2.23","2014-05-26","0.93","2014-06-13","115.7"
"49","2014-06-01","13970.6","2014-06-01","7456.569","2014-06-01","3,276,125","2014-06-01","1,834","6,807","2,103","2,127","22,771","18,579","2014-06-01",NA,"2014-06-02","67.95","53.47","13.09","",NA,"2014-06-02","6.17","2014-06-13","92.79","2014-06-02","2.27","2014-06-02","0.93","2014-06-20","116.21"
"50","2014-06-01","13970.6","2014-06-01","7456.569","2014-06-01","3,276,125","2014-06-01","1,834","6,807","2,103","2,127","22,771","18,579","2014-06-01",NA,"2014-06-09","66.78","51.6","12.81","",NA,"2014-06-09","6.15","2014-06-20","90.82","2014-06-09","2.23","2014-06-09","0.94","2014-06-27","114.81"
"51","2014-06-01","13970.6","2014-06-01","7456.569","2014-06-01","3,276,125","2014-06-01","1,834","6,807","2,103","2,127","22,771","18,579","2014-06-01",NA,"2014-06-16","67.96","52.62","12.86","",NA,"2014-06-16","6.15","2014-06-27","94.49","2014-06-16","2.23","2014-06-16","0.94","2014-07-04","116.18"
"52","2014-06-01","13970.6","2014-06-01","7456.569","2014-06-01","3,276,125","2014-06-01","1,834","6,807","2,103","2,127","22,771","18,579","2014-06-01",NA,"2014-06-23","68.89","53.43","13.29","",NA,"2014-06-23","6.15","2014-07-04","95.11","2014-06-23","2.21","2014-06-23","0.94","2014-07-11","116.16"
"53","2014-06-01","13970.6","2014-06-01","7456.569","2014-06-01","3,276,125","2014-06-01","1,834","6,807","2,103","2,127","22,771","18,579","2014-06-01",NA,"2014-06-30","71.09","56.67","14.03","",NA,"2014-06-30","6.16","2014-07-11","96.34","2014-06-30","2.21","2014-06-30","0.94","2014-07-18","115.46"
"54","2014-07-01","13646.3","2014-07-01","8251.817","2014-07-01","3,500,551","2014-07-01","1,867","7,105","2,189","2,311","22,383","19,050","2014-07-01",NA,"2014-07-07","70.67","55.16","13.86","",NA,"2014-07-07","6.16","2014-07-18","97.79","2014-07-07","2.22","2014-07-07","0.94","2014-07-25","113.45"
"55","2014-07-01","13646.3","2014-07-01","8251.817","2014-07-01","3,500,551","2014-07-01","1,867","7,105","2,189","2,311","22,383","19,050","2014-07-01",NA,"2014-07-14","72.07","56.51","14.08","",NA,"2014-07-14","6.15","2014-07-25","94.75","2014-07-14","2.23","2014-07-14","0.94","2014-08-01","113.33"
"56","2014-07-01","13646.3","2014-07-01","8251.817","2014-07-01","3,500,551","2014-07-01","1,867","7,105","2,189","2,311","22,383","19,050","2014-07-01",NA,"2014-07-21","73.23","58.24","14.56","",NA,"2014-07-21","6.16","2014-08-01","95.95","2014-07-21","2.22","2014-07-21","0.94","2014-08-08","111.89"
"57","2014-07-01","13646.3","2014-07-01","8251.817","2014-07-01","3,500,551","2014-07-01","1,867","7,105","2,189","2,311","22,383","19,050","2014-07-01",NA,"2014-07-28","70.95","56.64","14.01","",NA,"2014-07-28","6.16","2014-08-08","95.49","2014-07-28","2.24","2014-07-28","0.93","2014-08-15","110.67"
"58","2014-08-01","13679.6","2014-08-01","7488.14","2014-08-01","3,355,169","2014-08-01","2,030","7,001","2,237","2,329","22,294","18,576","2014-08-01",NA,"2014-08-04","71.04","57.48","13.83","",NA,"2014-08-04","6.16","2014-08-15","94.2","2014-08-04","2.28","2014-08-04","0.93","2014-08-22","110.8"
"59","2014-08-01","13679.6","2014-08-01","7488.14","2014-08-01","3,355,169","2014-08-01","2,030","7,001","2,237","2,329","22,294","18,576","2014-08-01",NA,"2014-08-11","72.45","57.33","13.71","",NA,"2014-08-11","6.15","2014-08-22","92.17","2014-08-11","2.27","2014-08-11","0.93","2014-08-29","112.37"
"60","2014-08-01","13679.6","2014-08-01","7488.14","2014-08-01","3,355,169","2014-08-01","2,030","7,001","2,237","2,329","22,294","18,576","2014-08-01",NA,"2014-08-18","69.71","56.3","13.74","",NA,"2014-08-18","6.16","2014-08-29","88.16","2014-08-18","2.26","2014-08-18","0.93","2014-09-05","112.69"
"61","2014-08-01","13679.6","2014-08-01","7488.14","2014-08-01","3,355,169","2014-08-01","2,030","7,001","2,237","2,329","22,294","18,576","2014-08-01",NA,"2014-08-25","68.63","53.74","13.06","",NA,"2014-08-25","6.17","2014-09-05","83.23","2014-08-25","2.26","2014-08-25","0.93","2014-09-12","113.41"
"62","2014-09-01","13763.2","2014-09-01","8469.489","2014-09-01","3,538,136","2014-09-01","2,215","6,650","2,122","2,294","21,125","18,079","2014-09-01",NA,"2014-09-01","66.75","52.96","12.68","",NA,"2014-09-01","6.17","2014-09-12","82.94","2014-09-01","2.24","2014-09-01","0.93","2014-09-19","113.7"
"63","2014-09-01","13763.2","2014-09-01","8469.489","2014-09-01","3,538,136","2014-09-01","2,215","6,650","2,122","2,294","21,125","18,079","2014-09-01",NA,"2014-09-08","65.16","52.28","12.3","",NA,"2014-09-08","6.15","2014-09-19","83.84","2014-09-08","2.29","2014-09-08","0.92","2014-09-26","110.69"
"64","2014-09-01","13763.2","2014-09-01","8469.489","2014-09-01","3,538,136","2014-09-01","2,215","6,650","2,122","2,294","21,125","18,079","2014-09-01",NA,"2014-09-15","63.31","51.68","12","",NA,"2014-09-15","6.15","2014-09-26","79.4","2014-09-15","2.35","2014-09-15","0.9","2014-10-10","108.51"
"65","2014-09-01","13763.2","2014-09-01","8469.489","2014-09-01","3,538,136","2014-09-01","2,215","6,650","2,122","2,294","21,125","18,079","2014-09-01",NA,"2014-09-22","59.83","50.47","11.19","",NA,"2014-09-22","6.15","2014-10-03","78.82","2014-09-22","2.41","2014-09-22","0.88","2014-10-17","106.58"
"66","2014-09-01","13763.2","2014-09-01","8469.489","2014-09-01","3,538,136","2014-09-01","2,215","6,650","2,122","2,294","21,125","18,079","2014-09-01",NA,"2014-09-29","57.23","47.17","11.02","",NA,"2014-09-29","6.15","2014-10-10","79.93","2014-09-29","2.46","2014-09-29","0.87","2014-10-24","105.81"
"67","2014-10-01","13391.4","2014-10-01","7939.057","2014-10-01","4,029,059","2014-10-01","1,938","6,739","2,038","2,273","19,909","15,770","2014-10-01",NA,"2014-10-06","55.73","47.75","10.9","",NA,"2014-10-06","6.15","2014-10-17","82.34","2014-10-06","2.41","2014-10-06","0.88","2014-10-31","107.18"
"68","2014-10-01","13391.4","2014-10-01","7939.057","2014-10-01","4,029,059","2014-10-01","1,938","6,739","2,038","2,273","19,909","15,770","2014-10-01",NA,"2014-10-13","59.04","49.93","10.94","",NA,"2014-10-13","6.14","2014-10-24","81.05","2014-10-13","2.43","2014-10-13","0.88","2014-11-07","106.24"
"69","2014-10-01","13391.4","2014-10-01","7939.057","2014-10-01","4,029,059","2014-10-01","1,938","6,739","2,038","2,273","19,909","15,770","2014-10-01",NA,"2014-10-20","59.14","49.04","11.16","",NA,"2014-10-20","6.14","2014-10-31","79.45","2014-10-20","2.48","2014-10-20","0.88","2014-11-14","107.43"
"70","2014-10-01","13391.4","2014-10-01","7939.057","2014-10-01","4,029,059","2014-10-01","1,938","6,739","2,038","2,273","19,909","15,770","2014-10-01",NA,"2014-10-27","59.44","47.97","10.09","",NA,"2014-10-27","6.14","2014-11-07","76.86","2014-10-27","2.47","2014-10-27","0.88","2014-11-21","108.05"
"71","2014-11-01","12705","2014-11-01","6739.905","2014-11-01","3,351,281","2014-11-01","2,054","6,701","2,024","2,259","19,969","16,706","2014-11-01",NA,"2014-11-03","59.88","48.37","9.43","",NA,"2014-11-03","6.15","2014-11-14","75.86","2014-11-03","2.53","2014-11-03","0.86","2014-11-28","106.89"
"72","2014-11-01","12705","2014-11-01","6739.905","2014-11-01","3,351,281","2014-11-01","2,054","6,701","2,024","2,259","19,969","16,706","2014-11-01",NA,"2014-11-10","58.43","48.07","8.87","",NA,"2014-11-10","6.14","2014-11-21","71.67","2014-11-10","2.57","2014-11-10","0.87","2014-12-05","108.05"
"73","2014-11-01","12705","2014-11-01","6739.905","2014-11-01","3,351,281","2014-11-01","2,054","6,701","2,024","2,259","19,969","16,706","2014-11-01",NA,"2014-11-17","57.34","47.51","9.41","",NA,"2014-11-17","6.14","2014-11-28","69.96","2014-11-17","2.57","2014-11-17","0.87","2014-12-12","104.89"
"74","2014-11-01","12705","2014-11-01","6739.905","2014-11-01","3,351,281","2014-11-01","2,054","6,701","2,024","2,259","19,969","16,706","2014-11-01",NA,"2014-11-24","51.63","46.6","9.01","",NA,"2014-11-24","6.14","2014-12-05","70.81","2014-11-24","2.54","2014-11-24","0.85","2014-12-19","102.77"
"75","2014-12-01","12614.8","2014-12-01","8685.13","2014-12-01","3,299,945","2014-12-01","1,913","6,403","1,936","2,172","19,826","15,919","2014-12-01",NA,"2014-12-01","50.38","45.29","8.38","",NA,"2014-12-01","6.14","2014-12-12","69.27","2014-12-01","2.57","2014-12-01","0.84","2014-12-26","100.59"
"76","2014-12-01","12614.8","2014-12-01","8685.13","2014-12-01","3,299,945","2014-12-01","1,913","6,403","1,936","2,172","19,826","15,919","2014-12-01",NA,"2014-12-08","46.18","41.78","7.19","",NA,"2014-12-08","6.12","2014-12-19","68.66","2014-12-08","2.62","2014-12-08","0.83","2015-01-04","98.24"
"77","2014-12-01","12614.8","2014-12-01","8685.13","2014-12-01","3,299,945","2014-12-01","1,913","6,403","1,936","2,172","19,826","15,919","2014-12-01",NA,"2014-12-15","48.39","45.38","8.14","",NA,"2014-12-15","6.12","2014-12-26","67.23","2014-12-15","2.69","2014-12-15","0.82","2015-01-09","98.7"
"78","2014-12-01","12614.8","2014-12-01","8685.13","2014-12-01","3,299,945","2014-12-01","1,913","6,403","1,936","2,172","19,826","15,919","2014-12-01",NA,"2014-12-22","47.53","45.84","8.16","",NA,"2014-12-22","6.12","2015-01-02","70.6","2014-12-22","2.69","2014-12-22","0.81","2015-01-16","98.91"
"79","2014-12-01","12614.8","2014-12-01","8685.13","2014-12-01","3,299,945","2014-12-01","1,913","6,403","1,936","2,172","19,826","15,919","2014-12-01",NA,"2014-12-29","47.54","45.72","7.94","2014-12-29","100","2014-12-29","6.12","2015-01-09","71.17","2014-12-29","2.67","2014-12-29","0.81","2015-01-23","98.22"
"80","2015-01-01","9223","2015-01-01","7857.059","2015-01-01","3,985,719","2015-01-01","1,808","5,816","1,829","2,111","19,463","14,771","2015-01-01",NA,"2015-01-05","46.93","45.53","8.55","2015-01-05","98.22","2015-01-05","6.13","2015-01-16","68.92","2015-01-05","2.68","2015-01-05","0.81","2015-01-30","99.77"
"81","2015-01-01","9223","2015-01-01","7857.059","2015-01-01","3,985,719","2015-01-01","1,808","5,816","1,829","2,111","19,463","14,771","2015-01-01",NA,"2015-01-12","46.14","44.2","8.41","2015-01-12","93.71","2015-01-12","6.12","2015-01-23","67.45","2015-01-12","2.64","2015-01-12","0.82","2015-02-06","98.48"
"82","2015-01-01","9223","2015-01-01","7857.059","2015-01-01","3,985,719","2015-01-01","1,808","5,816","1,829","2,111","19,463","14,771","2015-01-01",NA,"2015-01-19","45.5","43.08","7.85","2015-01-19","93.25","2015-01-19","6.13","2015-01-30","63.12","2015-01-19","2.6","2015-01-19","0.81","2015-02-13","96.69"
"83","2015-01-01","9223","2015-01-01","7857.059","2015-01-01","3,985,719","2015-01-01","1,808","5,816","1,829","2,111","19,463","14,771","2015-01-01",NA,"2015-01-26","46.33","44.13","7.03","2015-01-26","93.87","2015-01-26","6.13","2015-02-06","62.47","2015-01-26","2.61","2015-01-26","0.79","2015-02-27","98.29"
"84","2015-02-01","8330.5","2015-02-01","6794.218","2015-02-01","3,367,058","2015-02-01","1,821","5,702","1,805","2,103","18,292","14,535","2015-02-01",NA,"2015-02-02","48.29","46.24","7.35","2015-02-02","95.68","2015-02-02","6.13","2015-02-13","62.24","2015-02-02","2.74","2015-02-02","0.78","2015-03-06","99.38"
