주요 중국 철광석 항구재고량 주간평균 Data

날짜,주간평균,단위
2016/12/19,111.65,mmt
2016/12/26,114.39,mmt
2017/01/02,117.32,mmt
2017/01/09,118.99,mmt
2017/01/16,119.51,mmt
2017/02/06,128.20,mmt
2017/02/13,129.31,mmt
2017/02/20,130.81,mmt
2017/02/27,131.66,mmt
2017/03/06,131.29,mmt
2017/03/13,131.82,mmt
2017/03/20,133.63,mmt
2017/03/27,134.56,mmt
2017/04/03,133.74,mmt
2017/04/10,132.36,mmt
2017/04/17,131.35,mmt
2017/04/24,133.33,mmt
2017/05/01,136.06,mmt
2017/05/08,137.93,mmt
2017/05/15,139.42,mmt
2017/05/22,140.27,mmt
2017/05/29,140.14,mmt
2017/06/05,144.11,mmt
2017/06/12,142.36,mmt
2017/06/19,145.39,mmt
2017/06/26,144.13,mmt
2017/07/03,142.29,mmt
2017/07/10,142.87,mmt
2017/07/17,143.20,mmt
2017/07/24,142.31,mmt
2017/07/31,140.37,mmt
2017/08/07,138.34,mmt
2017/08/14,136.35,mmt
2017/08/21,134.73,mmt
2017/08/28,134.19,mmt
2017/09/04,133.90,mmt
2017/09/11,132.61,mmt
2017/09/18,131.74,mmt
2017/09/25,133.57,mmt
2017/10/09,131.47,mmt
2017/10/16,131.78,mmt
2017/10/23,135.94,mmt
2017/10/30,137.42,mmt
2017/11/06,138.42,mmt
2017/11/13,138.15,mmt
2017/11/20,139.85,mmt
2017/11/27,141.36,mmt
2017/12/04,142.18,mmt
2017/12/11,143.39,mmt
2017/12/18,145.37,mmt
2017/12/25,146.55,mmt
2018/01/01,149.23,mmt
2018/01/08,151.97,mmt
2018/01/15,153.61,mmt
2018/01/22,151.82,mmt
2018/01/29,151.43,mmt
2018/02/05,152.38,mmt
2018/02/26,159.56,mmt
2018/03/05,158.32,mmt
2018/03/12,159.73,mmt
2018/03/19,161.35,mmt
2018/03/26,162.82,mmt
2018/04/02,161.16,mmt
2018/04/09,160.43,mmt
2018/04/16,159.83,mmt
2018/04/23,159.08,mmt
2018/04/30,160.16,mmt
2018/05/07,158.76,mmt
2018/05/14,157.56,mmt
2018/05/21,158.89,mmt
2018/05/28,160.40,mmt
2018/06/04,159.15,mmt
2018/06/11,157.23,mmt
2018/06/18,154.90,mmt
2018/06/25,155.79,mmt
2018/07/02,153.42,mmt
2018/07/09,153.51,mmt
